name,estimate,moe
ANDERSON CO.2010,40378,1652
ANDREWS CO.2010,48699,4671
ANGELINA CO.2010,39148,1270
ARANSAS CO.2010,42179,2830
ARCHER CO.2010,50891,3730
ARMSTRONG CO.2010,60530,8207
ATASCOSA CO.2010,42927,3265
AUSTIN CO.2010,53263,3422
BAILEY CO.2010,42375,6274
BANDERA CO.2010,44352,3832
BASTROP CO.2010,51829,2169
BAYLOR CO.2010,33459,7497
BEE CO.2010,40278,3741
BELL CO.2010,48618,1023
BEXAR CO.2010,47048,397
BLANCO CO.2010,46128,4920
BORDEN CO.2010,58409,10030
BOSQUE CO.2010,45288,1582
BOWIE CO.2010,42550,1720
BRAZORIA CO.2010,65607,1169
BRAZOS CO.2010,37898,1356
BREWSTER CO.2010,35799,3035
BRISCOE CO.2010,34196,4903
BROOKS CO.2010,19959,2536
BROWN CO.2010,38832,2125
BURLESON CO.2010,43185,3821
BURNET CO.2010,48187,2462
CALDWELL CO.2010,41594,2590
CALHOUN CO.2010,43258,2021
CALLAHAN CO.2010,44596,3925
CAMERON CO.2010,31264,577
CAMP CO.2010,36029,5938
CARSON CO.2010,56106,3810
CASS CO.2010,36360,1608
CASTRO CO.2010,35087,3585
CHAMBERS CO.2010,66764,4288
CHEROKEE CO.2010,36966,2200
CHILDRESS CO.2010,42004,8675
CLAY CO.2010,50881,2088
COCHRAN CO.2010,37446,6578
COKE CO.2010,38702,7536
COLEMAN CO.2010,26951,3532
COLLIN CO.2010,80504,754
COLLINGSWORTH CO.2010,39712,7343
COLORADO CO.2010,41145,3098
COMAL CO.2010,64752,2142
COMANCHE CO.2010,35218,3233
CONCHO CO.2010,49063,6064
COOKE CO.2010,48899,2436
CORYELL CO.2010,47374,1725
COTTLE CO.2010,33859,4781
CRANE CO.2010,50425,7891
CROCKETT CO.2010,50653,6352
CROSBY CO.2010,36301,2777
CULBERSON CO.2010,35500,6256
DALLAM CO.2010,47073,7909
DALLAS CO.2010,47974,388
DAWSON CO.2010,33623,3940
DEAF SMITH CO.2010,41127,3579
DELTA CO.2010,37908,5504
DENTON CO.2010,70622,856
DEWITT CO.2010,40668,3443
DICKENS CO.2010,33813,5302
DIMMIT CO.2010,25882,6518
DONLEY CO.2010,46130,5630
DUVAL CO.2010,30493,5494
