name,estimate
TERRY CO.1990,32141
THROCKMORTON CO.1990,24562
TITUS CO.1990,31104
TOM GREEN CO.1990,30820
TRAVIS CO.1990,36828
TRINITY CO.1990,23443
TYLER CO.1990,25127
UPSHUR CO.1990,28151
UPTON CO.1990,29017
UVALDE CO.1990,25368
VAL VERDE CO.1990,24869
VAN ZANDT CO.1990,26380
VICTORIA CO.1990,34397
WALKER CO.1990,28523
WALLER CO.1990,31182
WARD CO.1990,29107
WASHINGTON CO.1990,29412
WEBB CO.1990,25993
WHARTON CO.1990,30532
WHEELER CO.1990,25592
WICHITA CO.1990,30447
WILBARGER CO.1990,25257
WILLACY CO.1990,21307
WILLIAMSON CO.1990,38321
WILSON CO.1990,29095
WINKLER CO.1990,28133
WISE CO.1990,31624
WOOD CO.1990,27935
YOAKUM CO.1990,33392
YOUNG CO.1990,28766
ZAPATA CO.1990,20809
ZAVALA CO.1990,17642
ANDERSON CO.2000,40927
ANDREWS CO.2000,44062
ANGELINA CO.2000,43062
ARANSAS CO.2000,45110
ARCHER CO.2000,50551
ARMSTRONG CO.2000,45664
ATASCOSA CO.2000,42599
AUSTIN CO.2000,48765
BAILEY CO.2000,35944
BANDERA CO.2000,49079
BASTROP CO.2000,51234
BAYLOR CO.2000,37137
BEE CO.2000,36213
BELL CO.2000,46590
BEXAR CO.2000,51184
BLANCO CO.2000,49469
BORDEN CO.2000,45262
BOSQUE CO.2000,44086
BOWIE CO.2000,44831
BRAZORIA CO.2000,58273
BRAZOS CO.2000,43279
BREWSTER CO.2000,35821
BRISCOE CO.2000,35412
BROOKS CO.2000,29309
BROWN CO.2000,40066
BURLESON CO.2000,42955
BURNET CO.2000,48414
CALDWELL CO.2000,44233
CALHOUN CO.2000,46944
CALLAHAN CO.2000,38608
CAMERON CO.2000,37115
CAMP CO.2000,43323
CARSON CO.2000,50814
CASS CO.2000,39481
CASTRO CO.2000,41959
CHAMBERS CO.2000,56535
CHEROKEE CO.2000,37978
CHILDRESS CO.2000,36813
CLAY CO.2000,41718
COCHRAN CO.2000,37331
COKE CO.2000,41161
COLEMAN CO.2000,35659
COLLIN CO.2000,89506
COLLINGSWORTH CO.2000,37151
COLORADO CO.2000,44165
COMAL CO.2000,58003
COMANCHE CO.2000,36790
CONCHO CO.2000,48995
COOKE CO.2000,47135
CORYELL CO.2000,43800
COTTLE CO.2000,36486
CRANE CO.2000,45436
CROCKETT CO.2000,38362
CROSBY CO.2000,39766
CULBERSON CO.2000,31821
DALLAM CO.2000,35761
DALLAS CO.2000,61320
DAWSON CO.2000,44320
DEAF SMITH CO.2000,39049
DELTA CO.2000,38771
DENTON CO.2000,72457
DEWITT CO.2000,39393
DICKENS CO.2000,34738
DIMMIT CO.2000,29345
DONLEY CO.2000,38240
DUVAL CO.2000,32684
EASTLAND CO.2000,36542
ECTOR CO.2000,41077
EDWARDS CO.2000,34170
ELLIS CO.2000,60149
EL PASO CO.2000,42515
ERATH CO.2000,42425
FALLS CO.2000,38498
FANNIN CO.2000,43819
FAYETTE CO.2000,46499
FISHER CO.2000,36303
FLOYD CO.2000,39963
FOARD CO.2000,35016
FORT BEND CO.2000,78765
FRANKLIN CO.2000,43939
FREESTONE CO.2000,42108
FRIO CO.2000,33073
GAINES CO.2000,40137
GALVESTON CO.2000,56244
GARZA CO.2000,35727
GILLESPIE CO.2000,49171
GLASSCOCK CO.2000,55615
GOLIAD CO.2000,44291
GONZALES CO.2000,38518
GRAY CO.2000,42553
GRAYSON CO.2000,48129
GREGG CO.2000,47240
GRIMES CO.2000,42182
GUADALUPE CO.2000,52519
HALE CO.2000,40394
HALL CO.2000,28961
HAMILTON CO.2000,40347
HANSFORD CO.2000,45988
HARDEMAN CO.2000,40264
HARDIN CO.2000,47691
HARRIS CO.2000,59814
HARRISON CO.2000,44053
HARTLEY CO.2000,56254
HASKELL CO.2000,35132
HAYS CO.2000,56733
HEMPHILL CO.2000,43819
HENDERSON CO.2000,44812
HIDALGO CO.2000,35591
HILL CO.2000,40635
HOCKLEY CO.2000,41849
HOOD CO.2000,56173
HOPKINS CO.2000,44100
HOUSTON CO.2000,37770
HOWARD CO.2000,40692
HUDSPETH CO.2000,29022
HUNT CO.2000,46289
HUTCHINSON CO.2000,44413
IRION CO.2000,51159
JACK CO.2000,41291
JACKSON CO.2000,44741
JASPER CO.2000,40739
JEFF DAVIS CO.2000,45754
JEFFERSON CO.2000,46601
JIM HOGG CO.2000,35036
JIM WELLS CO.2000,36885
JOHNSON CO.2000,52883
JONES CO.2000,39534
KARNES CO.2000,37907
KAUFMAN CO.2000,54362
KENDALL CO.2000,66430
KENEDY CO.2000,47575
KENT CO.2000,42392
KERR CO.2000,47392
KIMBLE CO.2000,40954
KING CO.2000,32587
KINNEY CO.2000,39369
KLEBERG CO.2000,37996
KNOX CO.2000,33129
LAMAR CO.2000,42718
LAMB CO.2000,40663
LAMPASAS CO.2000,46838
LA SALLE CO.2000,30523
LAVACA CO.2000,40580
LEE CO.2000,46919
LEON CO.2000,43049
LIBERTY CO.2000,45280
LIMESTONE CO.2000,38551
LIPSCOMB CO.2000,40754
LIVE OAK CO.2000,45933
LLANO CO.2000,50667
LOVING CO.2000,52881
LUBBOCK CO.2000,44712
LYNN CO.2000,38737
MCCULLOCH CO.2000,35256
MCLENNAN CO.2000,45523
MCMULLEN CO.2000,52617
MADISON CO.2000,40041
MARION CO.2000,34458
MARTIN CO.2000,44041
MASON CO.2000,49026
MATAGORDA CO.2000,42427
MAVERICK CO.2000,31661
MEDINA CO.2000,44444
MENARD CO.2000,37636
MIDLAND CO.2000,54539
MILAM CO.2000,45034
MILLS CO.2000,40224
MITCHELL CO.2000,40938
MONTAGUE CO.2000,41856
MONTGOMERY CO.2000,69295
MOORE CO.2000,44886
MORRIS CO.2000,39000
MOTLEY CO.2000,39915
NACOGDOCHES CO.2000,40279
NAVARRO CO.2000,41337
NEWTON CO.2000,35257
NOLAN CO.2000,35097
NUECES CO.2000,47696
OCHILTREE CO.2000,46326
OLDHAM CO.2000,43307
ORANGE CO.2000,46436
PALO PINTO CO.2000,39032
PANOLA CO.2000,39676
PARKER CO.2000,56767
PARMER CO.2000,40801
PECOS CO.2000,36718
POLK CO.2000,41003
POTTER CO.2000,40455
PRESIDIO CO.2000,27103
RAINS CO.2000,41316
RANDALL CO.2000,54971
REAGAN CO.2000,39246
REAL CO.2000,34807
RED RIVER CO.2000,36565
REEVES CO.2000,32443
REFUGIO CO.2000,40998
ROBERTS CO.2000,49878
ROBERTSON CO.2000,38138
ROCKWALL CO.2000,83574
RUNNELS CO.2000,34902
RUSK CO.2000,44977
SABINE CO.2000,37071
SAN AUGUSTINE CO.2000,37995
SAN JACINTO CO.2000,41166
SAN PATRICIO CO.2000,45849
SAN SABA CO.2000,40012
SCHLEICHER CO.2000,42323
SCURRY CO.2000,42938
SHACKELFORD CO.2000,41415
SHELBY CO.2000,39491
SHERMAN CO.2000,47832
SMITH CO.2000,49992
SOMERVELL CO.2000,49309
STARR CO.2000,25740
STEPHENS CO.2000,39098
STERLING CO.2000,45970
STONEWALL CO.2000,38343
SUTTON CO.2000,45889
SWISHER CO.2000,39317
TARRANT CO.2000,60112
TAYLOR CO.2000,44914
TERRELL CO.2000,32583
TERRY CO.2000,39434
THROCKMORTON CO.2000,42482
TITUS CO.2000,44745
TOM GREEN CO.2000,44156
TRAVIS CO.2000,64716
TRINITY CO.2000,37010
TYLER CO.2000,39333
UPSHUR CO.2000,42911
UPTON CO.2000,38912
UVALDE CO.2000,37358
VAL VERDE CO.2000,37321
VAN ZANDT CO.2000,44206
VICTORIA CO.2000,50365
WALKER CO.2000,42109
WALLER CO.2000,48501
WARD CO.2000,39433
WASHINGTON CO.2000,46001
WEBB CO.2000,40467
WHARTON CO.2000,42428
WHEELER CO.2000,38327
WICHITA CO.2000,43624
WILBARGER CO.2000,42424
WILLACY CO.2000,30915
WILLIAMSON CO.2000,70063
WILSON CO.2000,49997
