name,estimate,moe
ANDERSON CO.2019,42313,2337
ANDREWS CO.2019,70753,6115
ANGELINA CO.2019,46472,1452
ARANSAS CO.2019,44601,3698
ARCHER CO.2019,63192,4765
ARMSTRONG CO.2019,68750,10647
ATASCOSA CO.2019,55194,4735
AUSTIN CO.2019,62614,6451
BAILEY CO.2019,43523,7943
BANDERA CO.2019,56413,5522
BASTROP CO.2019,59185,2756
BAYLOR CO.2019,36157,3798
BEE CO.2019,45415,4540
BELL CO.2019,52583,994
BEXAR CO.2019,53999,449
BLANCO CO.2019,58500,4789
BORDEN CO.2019,77708,14586
BOSQUE CO.2019,48677,3108
BOWIE CO.2019,46283,2652
BRAZORIA CO.2019,76426,2188
BRAZOS CO.2019,43907,1389
BREWSTER CO.2019,38906,3618
BRISCOE CO.2019,42500,7062
BROOKS CO.2019,24794,3253
BROWN CO.2019,43062,1925
BURLESON CO.2019,52510,4429
BURNET CO.2019,57173,3823
CALDWELL CO.2019,51346,2389
CALHOUN CO.2019,58788,3841
CALLAHAN CO.2019,40945,2635
CAMERON CO.2019,36095,962
CAMP CO.2019,41811,3097
CARSON CO.2019,67010,6981
CASS CO.2019,41432,2577
CASTRO CO.2019,44643,3842
CHAMBERS CO.2019,74368,8078
CHEROKEE CO.2019,44294,2017
CHILDRESS CO.2019,40432,6002
CLAY CO.2019,46863,4871
COCHRAN CO.2019,37500,3978
COKE CO.2019,42500,6360
COLEMAN CO.2019,40804,3227
COLLIN CO.2019,90124,995
COLLINGSWORTH CO.2019,46348,6241
COLORADO CO.2019,50241,3748
COMAL CO.2019,73655,1751
COMANCHE CO.2019,42419,2872
CONCHO CO.2019,46696,9020
COOKE CO.2019,60027,2476
CORYELL CO.2019,50865,1533
COTTLE CO.2019,33534,5773
CRANE CO.2019,63935,9605
CROCKETT CO.2019,52310,7773
CROSBY CO.2019,38674,2969
CULBERSON CO.2019,33125,11492
DALLAM CO.2019,45580,8818
DALLAS CO.2019,53626,437
DAWSON CO.2019,43201,4374
DEAF SMITH CO.2019,51543,3468
DELTA CO.2019,42642,5710
DENTON CO.2019,80290,1119
DEWITT CO.2019,50960,5037
DICKENS CO.2019,43088,3488
DIMMIT CO.2019,31384,5343
DONLEY CO.2019,44429,6281
DUVAL CO.2019,35443,5975
EASTLAND CO.2019,32135,3314
ECTOR CO.2019,59528,2471
EDWARDS CO.2019,48462,24610
ELLIS CO.2019,67371,2205
EL PASO CO.2019,43244,675
ERATH CO.2019,47013,2530
FALLS CO.2019,38834,4055
FANNIN CO.2019,47875,2798
FAYETTE CO.2019,56941,5047
FISHER CO.2019,45294,3897
FLOYD CO.2019,48767,4541
FOARD CO.2019,50000,15300
FORT BEND CO.2019,93645,1349
FRANKLIN CO.2019,43967,4356
FREESTONE CO.2019,45890,4462
FRIO CO.2019,37382,4996
GAINES CO.2019,58167,5868
GALVESTON CO.2019,65702,1802
GARZA CO.2019,53832,4373
GILLESPIE CO.2019,56267,3468
GLASSCOCK CO.2019,64886,26246
GOLIAD CO.2019,56737,6539
GONZALES CO.2019,47516,3368
GRAY CO.2019,48314,5246
GRAYSON CO.2019,52683,2034
GREGG CO.2019,47970,1445
GRIMES CO.2019,49745,3213
GUADALUPE CO.2019,66187,1709
HALE CO.2019,46012,2409
HALL CO.2019,31324,4587
HAMILTON CO.2019,46611,6707
HANSFORD CO.2019,40678,3734
HARDEMAN CO.2019,37995,4188
HARDIN CO.2019,56131,3351
HARRIS CO.2019,57791,503
HARRISON CO.2019,48644,2576
HARTLEY CO.2019,64427,4662
HASKELL CO.2019,43529,6157
HAYS CO.2019,62815,1681
HEMPHILL CO.2019,68679,8021
HENDERSON CO.2019,44888,1447
HIDALGO CO.2019,37097,803
HILL CO.2019,45970,2801
HOCKLEY CO.2019,49184,2913
HOOD CO.2019,60275,2698
HOPKINS CO.2019,47832,1988
HOUSTON CO.2019,33552,2167
HOWARD CO.2019,50855,2162
HUDSPETH CO.2019,26346,4472
HUNT CO.2019,49319,2246
HUTCHINSON CO.2019,50035,4099
IRION CO.2019,63021,10537
JACK CO.2019,52829,5647
JACKSON CO.2019,58504,5746
JASPER CO.2019,41960,4187
JEFF DAVIS CO.2019,46534,10024
JEFFERSON CO.2019,46315,1252
JIM HOGG CO.2019,31403,4984
JIM WELLS CO.2019,41103,3613
JOHNSON CO.2019,60458,1793
JONES CO.2019,48601,5941
KARNES CO.2019,53051,5261
KAUFMAN CO.2019,63926,2146
KENDALL CO.2019,81023,5739
KENEDY CO.2019,24800,15011
KENT CO.2019,52250,12784
KERR CO.2019,48698,2928
KIMBLE CO.2019,41095,2463
KING CO.2019,56964,20503
KINNEY CO.2019,34926,7639
KLEBERG CO.2019,41700,3197
KNOX CO.2019,46319,5444
LAMAR CO.2019,42198,2190
LAMB CO.2019,43712,2899
LAMPASAS CO.2019,54467,3818
LA SALLE CO.2019,44601,8414
LAVACA CO.2019,51708,2822
LEE CO.2019,55741,4948
LEON CO.2019,44875,4612
LIBERTY CO.2019,48344,3470
LIMESTONE CO.2019,40356,2445
LIPSCOMB CO.2019,59583,7827
LIVE OAK CO.2019,51480,4529
LLANO CO.2019,50524,4101
LOVING CO.2019,80938,32455
LUBBOCK CO.2019,49078,1138
LYNN CO.2019,44922,3955
MCCULLOCH CO.2019,42367,7500
MCLENNAN CO.2019,46262,1239
MCMULLEN CO.2019,71389,19963
MADISON CO.2019,44004,4196
MARION CO.2019,36938,3112
MARTIN CO.2019,71115,10287
MASON CO.2019,40949,3689
MATAGORDA CO.2019,44896,4175
MAVERICK CO.2019,37734,2701
MEDINA CO.2019,59305,2261
MENARD CO.2019,37917,11237
MIDLAND CO.2019,75815,3574
MILAM CO.2019,41768,2688
MILLS CO.2019,46318,7679
MITCHELL CO.2019,52194,3002
MONTAGUE CO.2019,46592,4160
MONTGOMERY CO.2019,74323,1461
MOORE CO.2019,52469,3568
MORRIS CO.2019,40227,4275
MOTLEY CO.2019,40598,7989
NACOGDOCHES CO.2019,41482,2289
NAVARRO CO.2019,45103,2407
NEWTON CO.2019,40180,5490
NOLAN CO.2019,42019,2694
NUECES CO.2019,53317,981
OCHILTREE CO.2019,50120,4332
OLDHAM CO.2019,62426,7152
ORANGE CO.2019,53667,2201
PALO PINTO CO.2019,45067,2933
PANOLA CO.2019,49704,2693
PARKER CO.2019,70608,2107
PARMER CO.2019,50410,4309
PECOS CO.2019,50543,6324
POLK CO.2019,43267,2722
POTTER CO.2019,41852,1195
PRESIDIO CO.2019,26486,8419
RAINS CO.2019,48308,4901
RANDALL CO.2019,65564,1884
REAGAN CO.2019,59760,22731
REAL CO.2019,36493,6844
RED RIVER CO.2019,35356,2876
REEVES CO.2019,49390,6945
REFUGIO CO.2019,50338,6218
ROBERTS CO.2019,79167,8098
ROBERTSON CO.2019,52189,5130
ROCKWALL CO.2019,93269,3672
RUNNELS CO.2019,41226,3957
RUSK CO.2019,49270,2855
SABINE CO.2019,33561,2735
SAN AUGUSTINE CO.2019,32394,6068
SAN JACINTO CO.2019,43421,5938
SAN PATRICIO CO.2019,53332,2067
SAN SABA CO.2019,40301,4626
SCHLEICHER CO.2019,63432,8717
SCURRY CO.2019,54565,5212
SHACKELFORD CO.2019,46685,7316
SHELBY CO.2019,38121,2400
SHERMAN CO.2019,54961,4119
SMITH CO.2019,50742,1276
SOMERVELL CO.2019,52346,8689
STARR CO.2019,27133,1554
STEPHENS CO.2019,45862,3667
STERLING CO.2019,50000,13092
STONEWALL CO.2019,46786,13949
SUTTON CO.2019,60996,5615
SWISHER CO.2019,37883,4612
TARRANT CO.2019,62532,457
TAYLOR CO.2019,49161,2217
TERRELL CO.2019,26063,5567
TERRY CO.2019,42441,5680
THROCKMORTON CO.2019,37279,7356
TITUS CO.2019,46980,2674
TOM GREEN CO.2019,49662,2089
TRAVIS CO.2019,68350,751
TRINITY CO.2019,37398,3180
TYLER CO.2019,44396,4682
UPSHUR CO.2019,48796,2647
UPTON CO.2019,52750,5566
UVALDE CO.2019,40781,3100
VAL VERDE CO.2019,44609,2594
VAN ZANDT CO.2019,50061,2093
VICTORIA CO.2019,55740,2218
WALKER CO.2019,41456,1745
WALLER CO.2019,53506,4971
WARD CO.2019,63333,5589
WASHINGTON CO.2019,55793,4336
WEBB CO.2019,40442,1234
WHARTON CO.2019,50145,3208
WHEELER CO.2019,50910,3512
WICHITA CO.2019,45776,1140
WILBARGER CO.2019,43913,4945
WILLACY CO.2019,29104,2657
WILLIAMSON CO.2019,79123,1440
WILSON CO.2019,71942,4350
WINKLER CO.2019,55000,12087
WISE CO.2019,59081,2722
WOOD CO.2019,48038,3129
YOAKUM CO.2019,62500,8792
YOUNG CO.2019,46351,3907
ZAPATA CO.2019,34550,6700
ZAVALA CO.2019,25988,5009
