name,estimate,moe
ANDERSON CO.2015,41327,1842
ANDREWS CO.2015,70423,6038
ANGELINA CO.2015,44223,1611
ARANSAS CO.2015,41690,3678
ARCHER CO.2015,60275,5182
ARMSTRONG CO.2015,59737,4968
ATASCOSA CO.2015,52192,3005
AUSTIN CO.2015,53687,3810
BAILEY CO.2015,37397,8652
BANDERA CO.2015,49863,7193
BASTROP CO.2015,54821,2362
BAYLOR CO.2015,36373,7151
BEE CO.2015,42302,3403
BELL CO.2015,50550,821
BEXAR CO.2015,51150,405
BLANCO CO.2015,55504,4992
BORDEN CO.2015,73750,8208
BOSQUE CO.2015,44674,3329
BOWIE CO.2015,42670,1701
BRAZORIA CO.2015,69749,2073
BRAZOS CO.2015,39808,1299
BREWSTER CO.2015,38395,5230
BRISCOE CO.2015,38603,7119
BROOKS CO.2015,22741,3037
BROWN CO.2015,41962,2246
BURLESON CO.2015,51821,4534
BURNET CO.2015,49732,3192
CALDWELL CO.2015,47233,2036
CALHOUN CO.2015,51078,5676
CALLAHAN CO.2015,40981,3389
CAMERON CO.2015,33266,884
CAMP CO.2015,37851,3394
CARSON CO.2015,66023,7713
CASS CO.2015,37352,2430
CASTRO CO.2015,39459,3380
CHAMBERS CO.2015,70544,6404
CHEROKEE CO.2015,39595,1845
CHILDRESS CO.2015,36633,8958
CLAY CO.2015,48297,3407
COCHRAN CO.2015,39113,3514
COKE CO.2015,42467,5324
COLEMAN CO.2015,35156,4158
COLLIN CO.2015,84735,1217
COLLINGSWORTH CO.2015,39743,7242
COLORADO CO.2015,46618,2516
COMAL CO.2015,65833,3291
COMANCHE CO.2015,37470,2513
CONCHO CO.2015,48368,5302
COOKE CO.2015,52406,3128
CORYELL CO.2015,49340,1526
COTTLE CO.2015,34955,3894
CRANE CO.2015,58333,6374
CROCKETT CO.2015,53678,8534
CROSBY CO.2015,37434,2321
CULBERSON CO.2015,35000,5602
DALLAM CO.2015,41345,3462
DALLAS CO.2015,50270,333
DAWSON CO.2015,41095,2591
DEAF SMITH CO.2015,43373,3130
DELTA CO.2015,42432,4872
DENTON CO.2015,75050,1057
DEWITT CO.2015,49736,5142
DICKENS CO.2015,39700,4253
DIMMIT CO.2015,36825,5948
DONLEY CO.2015,36681,4127
DUVAL CO.2015,33939,5080
EASTLAND CO.2015,34888,3563
ECTOR CO.2015,57150,2189
EDWARDS CO.2015,41813,16850
ELLIS CO.2015,62465,2002
EL PASO CO.2015,41637,545
ERATH CO.2015,41416,1503
FALLS CO.2015,36079,2516
FANNIN CO.2015,44071,2934
FAYETTE CO.2015,47808,4108
FISHER CO.2015,41406,2956
FLOYD CO.2015,41026,4376
FOARD CO.2015,36477,7406
FORT BEND CO.2015,89152,1584
FRANKLIN CO.2015,41537,5744
FREESTONE CO.2015,44301,3918
FRIO CO.2015,36404,4068
GAINES CO.2015,57635,6294
GALVESTON CO.2015,62313,1675
GARZA CO.2015,48508,5305
GILLESPIE CO.2015,54859,3635
GLASSCOCK CO.2015,67303,17246
GOLIAD CO.2015,51226,3258
GONZALES CO.2015,42983,2287
GRAY CO.2015,43288,2693
GRAYSON CO.2015,47952,1896
GREGG CO.2015,47639,1690
GRIMES CO.2015,46195,2338
GUADALUPE CO.2015,62420,1828
HALE CO.2015,43375,2063
HALL CO.2015,30950,4283
HAMILTON CO.2015,42432,5528
HANSFORD CO.2015,44219,6188
HARDEMAN CO.2015,37174,4799
HARDIN CO.2015,52614,2456
HARRIS CO.2015,54457,400
HARRISON CO.2015,45974,2696
HARTLEY CO.2015,63004,4591
HASKELL CO.2015,39850,6568
HAYS CO.2015,58583,2124
HEMPHILL CO.2015,62813,4638
HENDERSON CO.2015,41607,1330
HIDALGO CO.2015,34782,734
HILL CO.2015,41382,1897
HOCKLEY CO.2015,50665,2310
HOOD CO.2015,56100,2659
HOPKINS CO.2015,44396,2791
HOUSTON CO.2015,32698,2434
HOWARD CO.2015,49575,2957
HUDSPETH CO.2015,26384,2873
HUNT CO.2015,45197,1896
HUTCHINSON CO.2015,49353,3242
IRION CO.2015,58500,7101
JACK CO.2015,50324,7203
JACKSON CO.2015,54926,4976
JASPER CO.2015,40820,3325
JEFF DAVIS CO.2015,50165,6378
JEFFERSON CO.2015,43540,1070
JIM HOGG CO.2015,35521,5606
JIM WELLS CO.2015,42986,4198
JOHNSON CO.2015,58135,1678
JONES CO.2015,43897,5136
KARNES CO.2015,45502,4170
KAUFMAN CO.2015,60391,2724
KENDALL CO.2015,73240,5878
KENEDY CO.2015,36438,10695
KENT CO.2015,47024,8739
KERR CO.2015,43810,2789
KIMBLE CO.2015,40125,6143
KING CO.2015,63250,21355
KINNEY CO.2015,38281,7317
KLEBERG CO.2015,38247,2992
KNOX CO.2015,40493,7401
LAMAR CO.2015,40748,1632
LAMB CO.2015,39851,3148
LAMPASAS CO.2015,49630,2600
LA SALLE CO.2015,37292,7064
LAVACA CO.2015,48677,2485
LEE CO.2015,53902,3576
LEON CO.2015,49802,3672
LIBERTY CO.2015,48729,2514
LIMESTONE CO.2015,37554,2526
LIPSCOMB CO.2015,63125,6474
LIVE OAK CO.2015,50400,5652
LLANO CO.2015,48259,4147
LOVING CO.2015,NA,NA
LUBBOCK CO.2015,46075,738
LYNN CO.2015,39526,3833
MCCULLOCH CO.2015,40561,3136
MCLENNAN CO.2015,42687,1183
MCMULLEN CO.2015,46250,15303
MADISON CO.2015,39390,3449
