name,estimate,moe
ANDERSON CO.2012,41471,2370
ANDREWS CO.2012,55327,4607
ANGELINA CO.2012,40150,1838
ARANSAS CO.2012,44769,3605
ARCHER CO.2012,56250,5436
ARMSTRONG CO.2012,56974,8939
ATASCOSA CO.2012,45702,3700
AUSTIN CO.2012,51340,3822
BAILEY CO.2012,41075,4381
BANDERA CO.2012,47927,3964
BASTROP CO.2012,52516,2918
BAYLOR CO.2012,34688,4565
BEE CO.2012,40707,2875
BELL CO.2012,50085,1206
BEXAR CO.2012,49141,517
BLANCO CO.2012,46881,4964
BORDEN CO.2012,69688,16817
BOSQUE CO.2012,44860,2303
BOWIE CO.2012,42346,1396
BRAZORIA CO.2012,68008,1902
BRAZOS CO.2012,37638,1175
BREWSTER CO.2012,40086,3342
BRISCOE CO.2012,35078,5483
BROOKS CO.2012,21445,3685
BROWN CO.2012,40821,1810
BURLESON CO.2012,43976,4768
BURNET CO.2012,49047,2182
CALDWELL CO.2012,43393,2868
CALHOUN CO.2012,45122,2774
CALLAHAN CO.2012,46812,2416
CAMERON CO.2012,32558,730
CAMP CO.2012,36495,1968
CARSON CO.2012,60813,5595
CASS CO.2012,35932,2177
CASTRO CO.2012,35301,5294
CHAMBERS CO.2012,75200,4278
CHEROKEE CO.2012,37508,2172
CHILDRESS CO.2012,44455,9977
CLAY CO.2012,54298,2872
COCHRAN CO.2012,40406,4017
COKE CO.2012,40844,3723
COLEMAN CO.2012,30690,3087
COLLIN CO.2012,83238,1087
COLLINGSWORTH CO.2012,41940,7502
COLORADO CO.2012,43273,3026
COMAL CO.2012,63480,3138
COMANCHE CO.2012,36599,3352
CONCHO CO.2012,50278,9874
COOKE CO.2012,49735,2145
CORYELL CO.2012,50104,1926
COTTLE CO.2012,34770,5141
CRANE CO.2012,49974,6880
CROCKETT CO.2012,49850,7990
CROSBY CO.2012,36768,2696
CULBERSON CO.2012,33500,6458
DALLAM CO.2012,42781,6583
DALLAS CO.2012,49159,394
DAWSON CO.2012,40152,4251
DEAF SMITH CO.2012,42577,2849
DELTA CO.2012,41406,4572
DENTON CO.2012,72939,1129
DEWITT CO.2012,45457,2759
DICKENS CO.2012,33950,4235
DIMMIT CO.2012,32960,8561
DONLEY CO.2012,41875,6994
DUVAL CO.2012,35167,4790
EASTLAND CO.2012,35044,2548
ECTOR CO.2012,50851,1921
EDWARDS CO.2012,41613,8734
ELLIS CO.2012,62832,1478
EL PASO CO.2012,39699,621
ERATH CO.2012,40176,2267
FALLS CO.2012,33744,2153
FANNIN CO.2012,43382,1864
FAYETTE CO.2012,45478,3704
FISHER CO.2012,42900,5452
FLOYD CO.2012,35323,5023
FOARD CO.2012,32443,9549
FORT BEND CO.2012,84211,1572
FRANKLIN CO.2012,45684,7627
FREESTONE CO.2012,45510,5430
FRIO CO.2012,38161,4253
GAINES CO.2012,50850,4074
GALVESTON CO.2012,61555,1324
GARZA CO.2012,41750,15237
GILLESPIE CO.2012,55017,2891
GLASSCOCK CO.2012,76563,15577
GOLIAD CO.2012,50635,3172
GONZALES CO.2012,39115,2740
GRAY CO.2012,44455,2760
GRAYSON CO.2012,46587,1894
GREGG CO.2012,45233,1510
GRIMES CO.2012,43810,3714
GUADALUPE CO.2012,63889,2018
HALE CO.2012,40521,2234
HALL CO.2012,32097,4507
HAMILTON CO.2012,39709,3873
HANSFORD CO.2012,49626,2924
HARDEMAN CO.2012,35332,6330
HARDIN CO.2012,54275,2617
HARRIS CO.2012,53160,340
HARRISON CO.2012,46718,2503
HARTLEY CO.2012,63407,7941
HASKELL CO.2012,40247,5053
HAYS CO.2012,57834,1616
HEMPHILL CO.2012,53295,5330
HENDERSON CO.2012,41100,1495
HIDALGO CO.2012,33218,611
HILL CO.2012,39405,2065
HOCKLEY CO.2012,51054,3076
HOOD CO.2012,54902,1986
HOPKINS CO.2012,42257,2497
HOUSTON CO.2012,32859,2129
HOWARD CO.2012,43393,3174
HUDSPETH CO.2012,22083,2737
HUNT CO.2012,45170,1852
HUTCHINSON CO.2012,46677,2501
IRION CO.2012,48646,10894
JACK CO.2012,43902,6715
JACKSON CO.2012,47591,3507
JASPER CO.2012,40603,2530
JEFF DAVIS CO.2012,49375,4304
JEFFERSON CO.2012,43750,843
JIM HOGG CO.2012,36919,5524
JIM WELLS CO.2012,40723,2302
JOHNSON CO.2012,57016,1443
JONES CO.2012,38896,3080
KARNES CO.2012,39706,5036
KAUFMAN CO.2012,61564,2357
KENDALL CO.2012,71553,5987
KENEDY CO.2012,37206,17710
KENT CO.2012,38750,13333
KERR CO.2012,43849,2075
KIMBLE CO.2012,46786,5149
KING CO.2012,63750,22560
KINNEY CO.2012,34083,7348
KLEBERG CO.2012,38058,3247
KNOX CO.2012,33667,2845
LAMAR CO.2012,39630,1892
LAMB CO.2012,35265,2404
LAMPASAS CO.2012,47968,3739
LA SALLE CO.2012,26731,6255
LAVACA CO.2012,42934,3094
LEE CO.2012,50860,4556
LEON CO.2012,43534,3816
LIBERTY CO.2012,48408,2334
LIMESTONE CO.2012,40213,2312
LIPSCOMB CO.2012,56131,4668
LIVE OAK CO.2012,42182,4986
LLANO CO.2012,45533,5840
LOVING CO.2012,39375,44686
LUBBOCK CO.2012,43993,899
LYNN CO.2012,45066,6063
MCCULLOCH CO.2012,36560,4531
MCLENNAN CO.2012,41589,1157
MCMULLEN CO.2012,38438,13755
MADISON CO.2012,41202,5479
MARION CO.2012,32226,4245
MARTIN CO.2012,41964,8418
MASON CO.2012,44408,8625
MATAGORDA CO.2012,43146,3192
MAVERICK CO.2012,30959,1662
MEDINA CO.2012,52206,3016
MENARD CO.2012,35048,6927
MIDLAND CO.2012,59391,1650
MILAM CO.2012,39170,3519
MILLS CO.2012,34984,8467
MITCHELL CO.2012,41082,7479
MONTAGUE CO.2012,45287,2233
MONTGOMERY CO.2012,66422,1107
MOORE CO.2012,48489,3175
MORRIS CO.2012,39122,3498
MOTLEY CO.2012,35313,3914
NACOGDOCHES CO.2012,35641,1565
NAVARRO CO.2012,41511,1357
NEWTON CO.2012,38574,4892
NOLAN CO.2012,37671,2232
NUECES CO.2012,46499,1253
OCHILTREE CO.2012,50881,3165
OLDHAM CO.2012,50993,5467
ORANGE CO.2012,48864,2947
PALO PINTO CO.2012,43041,2158
PANOLA CO.2012,50508,2762
PARKER CO.2012,65299,1878
PARMER CO.2012,44925,3508
PECOS CO.2012,43529,3315
POLK CO.2012,37194,2036
POTTER CO.2012,37848,1468
PRESIDIO CO.2012,29400,5821
RAINS CO.2012,45099,4970
RANDALL CO.2012,57509,1648
REAGAN CO.2012,55968,7076
REAL CO.2012,31713,3892
RED RIVER CO.2012,34430,2704
REEVES CO.2012,39577,6737
REFUGIO CO.2012,42589,4442
ROBERTS CO.2012,64688,11536
ROBERTSON CO.2012,40711,3122
ROCKWALL CO.2012,82725,3431
RUNNELS CO.2012,39115,4581
RUSK CO.2012,46220,2363
SABINE CO.2012,33053,2783
SAN AUGUSTINE CO.2012,27580,2706
SAN JACINTO CO.2012,46413,4248
SAN PATRICIO CO.2012,51104,3016
SAN SABA CO.2012,37230,4417
SCHLEICHER CO.2012,50417,11501
SCURRY CO.2012,46340,4655
SHACKELFORD CO.2012,46181,6827
SHELBY CO.2012,35732,2374
SHERMAN CO.2012,47500,6582
SMITH CO.2012,47312,1314
SOMERVELL CO.2012,51618,5321
STARR CO.2012,24653,1519
STEPHENS CO.2012,38424,5151
STERLING CO.2012,44239,11227
STONEWALL CO.2012,52917,10716
SUTTON CO.2012,62321,8021
SWISHER CO.2012,40227,4149
TARRANT CO.2012,56859,511
TAYLOR CO.2012,44372,1241
TERRELL CO.2012,37750,13237
TERRY CO.2012,35537,3559
THROCKMORTON CO.2012,41019,4561
TITUS CO.2012,40909,1909
TOM GREEN CO.2012,44310,1456
TRAVIS CO.2012,56403,803
TRINITY CO.2012,37223,4089
TYLER CO.2012,36785,2886
UPSHUR CO.2012,45696,2565
UPTON CO.2012,52042,5961
UVALDE CO.2012,34110,2968
VAL VERDE CO.2012,40509,1699
VAN ZANDT CO.2012,42668,1712
VICTORIA CO.2012,50097,1801
WALKER CO.2012,38654,2302
WALLER CO.2012,51576,3060
WARD CO.2012,40222,3312
WASHINGTON CO.2012,44162,3673
WEBB CO.2012,38421,1021
WHARTON CO.2012,40988,3079
WHEELER CO.2012,49615,4130
WICHITA CO.2012,45589,1212
WILBARGER CO.2012,42271,5422
WILLACY CO.2012,26369,3349
WILLIAMSON CO.2012,70849,1558
WILSON CO.2012,62870,2536
WINKLER CO.2012,47167,4897
WISE CO.2012,55492,2577
WOOD CO.2012,42404,2172
YOAKUM CO.2012,48611,7534
YOUNG CO.2012,42008,5770
ZAPATA CO.2012,28617,3326
ZAVALA CO.2012,25206,2470
