name,estimate,moe
ANDERSON CO.2016,42146,2539
ANDREWS CO.2016,70121,7053
ANGELINA CO.2016,44185,2107
ARANSAS CO.2016,44851,4261
ARCHER CO.2016,62407,5368
ARMSTRONG CO.2016,65000,9415
ATASCOSA CO.2016,53181,4114
AUSTIN CO.2016,56681,4903
BAILEY CO.2016,40589,8438
BANDERA CO.2016,55434,4503
BASTROP CO.2016,55808,2177
BAYLOR CO.2016,34382,5181
BEE CO.2016,44005,3595
BELL CO.2016,51529,773
BEXAR CO.2016,52353,363
BLANCO CO.2016,56573,4770
BORDEN CO.2016,77569,4724
BOSQUE CO.2016,45419,2671
BOWIE CO.2016,42683,1620
BRAZORIA CO.2016,72006,1498
BRAZOS CO.2016,41654,1148
BREWSTER CO.2016,38440,4465
BRISCOE CO.2016,40385,6216
BROOKS CO.2016,24913,4198
BROWN CO.2016,43235,2221
BURLESON CO.2016,52513,3724
BURNET CO.2016,54259,5590
CALDWELL CO.2016,49533,1714
CALHOUN CO.2016,54167,6295
CALLAHAN CO.2016,40568,3135
CAMERON CO.2016,34578,1003
CAMP CO.2016,40045,3702
CARSON CO.2016,64554,5619
CASS CO.2016,39366,2656
CASTRO CO.2016,42733,4865
CHAMBERS CO.2016,70396,9943
CHEROKEE CO.2016,40769,1475
CHILDRESS CO.2016,37125,5711
CLAY CO.2016,45341,5565
COCHRAN CO.2016,38625,4179
COKE CO.2016,41756,3892
COLEMAN CO.2016,42049,3207
COLLIN CO.2016,86188,960
COLLINGSWORTH CO.2016,40257,6489
COLORADO CO.2016,45398,4465
COMAL CO.2016,69666,2520
COMANCHE CO.2016,39054,3247
CONCHO CO.2016,48516,5167
COOKE CO.2016,56269,3421
CORYELL CO.2016,49275,1426
COTTLE CO.2016,33750,4521
CRANE CO.2016,60133,5203
CROCKETT CO.2016,50646,6669
CROSBY CO.2016,39026,2709
CULBERSON CO.2016,33981,6005
DALLAM CO.2016,43897,6253
DALLAS CO.2016,51411,341
DAWSON CO.2016,42354,3581
DEAF SMITH CO.2016,47219,3679
DELTA CO.2016,40529,7054
DENTON CO.2016,76678,883
DEWITT CO.2016,50582,3585
DICKENS CO.2016,42118,4133
DIMMIT CO.2016,32204,8275
DONLEY CO.2016,40560,4567
DUVAL CO.2016,33115,4009
EASTLAND CO.2016,34434,2888
ECTOR CO.2016,58335,3083
EDWARDS CO.2016,39457,12504
ELLIS CO.2016,64382,1649
EL PASO CO.2016,42075,680
ERATH CO.2016,42492,2087
