name,estimate,moe
ANDERSON CO.2017,42313,2337
ANDREWS CO.2017,70753,6115
ANGELINA CO.2017,46472,1452
ARANSAS CO.2017,44601,3698
ARCHER CO.2017,63192,4765
ARMSTRONG CO.2017,68750,10647
ATASCOSA CO.2017,55194,4735
AUSTIN CO.2017,62614,6451
BAILEY CO.2017,43523,7943
BANDERA CO.2017,56413,5522
BASTROP CO.2017,59185,2756
BAYLOR CO.2017,36157,3798
BEE CO.2017,45415,4540
BELL CO.2017,52583,994
BEXAR CO.2017,53999,449
BLANCO CO.2017,58500,4789
BORDEN CO.2017,77708,14586
BOSQUE CO.2017,48677,3108
BOWIE CO.2017,46283,2652
BRAZORIA CO.2017,76426,2188
BRAZOS CO.2017,43907,1389
BREWSTER CO.2017,38906,3618
BRISCOE CO.2017,42500,7062
BROOKS CO.2017,24794,3253
BROWN CO.2017,43062,1925
BURLESON CO.2017,52510,4429
BURNET CO.2017,57173,3823
CALDWELL CO.2017,51346,2389
CALHOUN CO.2017,58788,3841
CALLAHAN CO.2017,40945,2635
CAMERON CO.2017,36095,962
CAMP CO.2017,41811,3097
CARSON CO.2017,67010,6981
CASS CO.2017,41432,2577
CASTRO CO.2017,44643,3842
CHAMBERS CO.2017,74368,8078
CHEROKEE CO.2017,44294,2017
CHILDRESS CO.2017,40432,6002
CLAY CO.2017,46863,4871
COCHRAN CO.2017,37500,3978
COKE CO.2017,42500,6360
COLEMAN CO.2017,40804,3227
COLLIN CO.2017,90124,995
COLLINGSWORTH CO.2017,46348,6241
COLORADO CO.2017,50241,3748
COMAL CO.2017,73655,1751
COMANCHE CO.2017,42419,2872
CONCHO CO.2017,46696,9020
COOKE CO.2017,60027,2476
CORYELL CO.2017,50865,1533
COTTLE CO.2017,33534,5773
CRANE CO.2017,63935,9605
CROCKETT CO.2017,52310,7773
CROSBY CO.2017,38674,2969
CULBERSON CO.2017,33125,11492
DALLAM CO.2017,45580,8818
DALLAS CO.2017,53626,437
DAWSON CO.2017,43201,4374
DEAF SMITH CO.2017,51543,3468
DELTA CO.2017,42642,5710
DENTON CO.2017,80290,1119
DEWITT CO.2017,50960,5037
DICKENS CO.2017,43088,3488
DIMMIT CO.2017,31384,5343
DONLEY CO.2017,44429,6281
DUVAL CO.2017,35443,5975
EASTLAND CO.2017,32135,3314
ECTOR CO.2017,59528,2471
EDWARDS CO.2017,48462,24610
ELLIS CO.2017,67371,2205
EL PASO CO.2017,43244,675
ERATH CO.2017,47013,2530
FALLS CO.2017,38834,4055
FANNIN CO.2017,47875,2798
FAYETTE CO.2017,56941,5047
FISHER CO.2017,45294,3897
FLOYD CO.2017,48767,4541
FOARD CO.2017,50000,15300
FORT BEND CO.2017,93645,1349
FRANKLIN CO.2017,43967,4356
FREESTONE CO.2017,45890,4462
FRIO CO.2017,37382,4996
GAINES CO.2017,58167,5868
GALVESTON CO.2017,65702,1802
GARZA CO.2017,53832,4373
GILLESPIE CO.2017,56267,3468
GLASSCOCK CO.2017,64886,26246
GOLIAD CO.2017,56737,6539
GONZALES CO.2017,47516,3368
GRAY CO.2017,48314,5246
GRAYSON CO.2017,52683,2034
GREGG CO.2017,47970,1445
GRIMES CO.2017,49745,3213
GUADALUPE CO.2017,66187,1709
HALE CO.2017,46012,2409
HALL CO.2017,31324,4587
HAMILTON CO.2017,46611,6707
HANSFORD CO.2017,40678,3734
HARDEMAN CO.2017,37995,4188
HARDIN CO.2017,56131,3351
HARRIS CO.2017,57791,503
HARRISON CO.2017,48644,2576
HARTLEY CO.2017,64427,4662
HASKELL CO.2017,43529,6157
HAYS CO.2017,62815,1681
HEMPHILL CO.2017,68679,8021
HENDERSON CO.2017,44888,1447
HIDALGO CO.2017,37097,803
HILL CO.2017,45970,2801
HOCKLEY CO.2017,49184,2913
HOOD CO.2017,60275,2698
HOPKINS CO.2017,47832,1988
HOUSTON CO.2017,33552,2167
HOWARD CO.2017,50855,2162
HUDSPETH CO.2017,26346,4472
HUNT CO.2017,49319,2246
HUTCHINSON CO.2017,50035,4099
IRION CO.2017,63021,10537
JACK CO.2017,52829,5647
JACKSON CO.2017,58504,5746
JASPER CO.2017,41960,4187
JEFF DAVIS CO.2017,46534,10024
JEFFERSON CO.2017,46315,1252
JIM HOGG CO.2017,31403,4984
JIM WELLS CO.2017,41103,3613
JOHNSON CO.2017,60458,1793
JONES CO.2017,48601,5941
KARNES CO.2017,53051,5261
KAUFMAN CO.2017,63926,2146
KENDALL CO.2017,81023,5739
KENEDY CO.2017,24800,15011
KENT CO.2017,52250,12784
KERR CO.2017,48698,2928
KIMBLE CO.2017,41095,2463
KING CO.2017,56964,20503
KINNEY CO.2017,34926,7639
KLEBERG CO.2017,41700,3197
KNOX CO.2017,46319,5444
LAMAR CO.2017,42198,2190
LAMB CO.2017,43712,2899
LAMPASAS CO.2017,54467,3818
LA SALLE CO.2017,44601,8414
LAVACA CO.2017,51708,2822
LEE CO.2017,55741,4948
LEON CO.2017,44875,4612
LIBERTY CO.2017,48344,3470
LIMESTONE CO.2017,40356,2445
LIPSCOMB CO.2017,59583,7827
LIVE OAK CO.2017,51480,4529
LLANO CO.2017,50524,4101
LOVING CO.2017,80938,32455
LUBBOCK CO.2017,49078,1138
LYNN CO.2017,44922,3955
MCCULLOCH CO.2017,42367,7500
MCLENNAN CO.2017,46262,1239
MCMULLEN CO.2017,71389,19963
MADISON CO.2017,44004,4196
MARION CO.2017,36938,3112
MARTIN CO.2017,71115,10287
MASON CO.2017,40949,3689
MATAGORDA CO.2017,44896,4175
MAVERICK CO.2017,37734,2701
MEDINA CO.2017,59305,2261
MENARD CO.2017,37917,11237
MIDLAND CO.2017,75815,3574
MILAM CO.2017,41768,2688
MILLS CO.2017,46318,7679
MITCHELL CO.2017,52194,3002
MONTAGUE CO.2017,46592,4160
MONTGOMERY CO.2017,74323,1461
MOORE CO.2017,52469,3568
MORRIS CO.2017,40227,4275
MOTLEY CO.2017,40598,7989
NACOGDOCHES CO.2017,41482,2289
NAVARRO CO.2017,45103,2407
NEWTON CO.2017,40180,5490
NOLAN CO.2017,42019,2694
NUECES CO.2017,53317,981
OCHILTREE CO.2017,50120,4332
OLDHAM CO.2017,62426,7152
ORANGE CO.2017,53667,2201
PALO PINTO CO.2017,45067,2933
PANOLA CO.2017,49704,2693
PARKER CO.2017,70608,2107
PARMER CO.2017,50410,4309
PECOS CO.2017,50543,6324
POLK CO.2017,43267,2722
POTTER CO.2017,41852,1195
PRESIDIO CO.2017,26486,8419
RAINS CO.2017,48308,4901
RANDALL CO.2017,65564,1884
REAGAN CO.2017,59760,22731
REAL CO.2017,36493,6844
RED RIVER CO.2017,35356,2876
REEVES CO.2017,49390,6945
REFUGIO CO.2017,50338,6218
ROBERTS CO.2017,79167,8098
ROBERTSON CO.2017,52189,5130
ROCKWALL CO.2017,93269,3672
