name,estimate,moe
ANDERSON CO.2014,42511,2149
ANDREWS CO.2014,61250,4569
ANGELINA CO.2014,42374,1595
ARANSAS CO.2014,42247,4151
ARCHER CO.2014,58274,6233
ARMSTRONG CO.2014,61250,16414
ATASCOSA CO.2014,50756,2436
AUSTIN CO.2014,54603,2892
BAILEY CO.2014,41982,3375
BANDERA CO.2014,48587,3638
BASTROP CO.2014,53382,2670
BAYLOR CO.2014,33019,3636
BEE CO.2014,41738,2898
BELL CO.2014,51027,911
BEXAR CO.2014,50867,442
BLANCO CO.2014,51740,5991
BORDEN CO.2014,73333,11249
BOSQUE CO.2014,44339,2605
BOWIE CO.2014,42917,1842
BRAZORIA CO.2014,69092,1833
BRAZOS CO.2014,39060,948
BREWSTER CO.2014,38589,4939
BRISCOE CO.2014,36696,6817
BROOKS CO.2014,22176,3778
BROWN CO.2014,40982,1965
BURLESON CO.2014,49533,3388
BURNET CO.2014,50712,3865
CALDWELL CO.2014,47435,1927
CALHOUN CO.2014,47546,4141
CALLAHAN CO.2014,42102,4050
CAMERON CO.2014,33390,885
CAMP CO.2014,38154,3833
CARSON CO.2014,63424,6126
CASS CO.2014,36342,1677
CASTRO CO.2014,40470,4438
CHAMBERS CO.2014,72239,6225
CHEROKEE CO.2014,38949,2064
CHILDRESS CO.2014,48682,14203
CLAY CO.2014,50025,5240
COCHRAN CO.2014,41071,2567
COKE CO.2014,40822,5080
COLEMAN CO.2014,34692,2609
COLLIN CO.2014,84233,1059
COLLINGSWORTH CO.2014,42798,8389
COLORADO CO.2014,45262,4026
COMAL CO.2014,64987,3666
COMANCHE CO.2014,35692,2460
CONCHO CO.2014,52844,4771
COOKE CO.2014,51222,2674
CORYELL CO.2014,49783,1387
COTTLE CO.2014,34833,3594
CRANE CO.2014,52451,10345
CROCKETT CO.2014,51594,6701
CROSBY CO.2014,38668,2427
CULBERSON CO.2014,35302,6014
DALLAM CO.2014,41105,4648
DALLAS CO.2014,49925,397
DAWSON CO.2014,39746,3213
DEAF SMITH CO.2014,42995,2119
DELTA CO.2014,40988,8968
DENTON CO.2014,74662,1215
DEWITT CO.2014,48082,3040
DICKENS CO.2014,38397,3811
DIMMIT CO.2014,38140,3944
DONLEY CO.2014,40719,5599
DUVAL CO.2014,32479,4911
EASTLAND CO.2014,35221,3039
ECTOR CO.2014,54903,2011
EDWARDS CO.2014,41726,9639
ELLIS CO.2014,61898,2053
EL PASO CO.2014,40783,638
ERATH CO.2014,40711,1566
FALLS CO.2014,33587,1710
FANNIN CO.2014,44432,2265
FAYETTE CO.2014,48711,3679
FISHER CO.2014,42850,5129
FLOYD CO.2014,40993,4763
FOARD CO.2014,34375,8863
FORT BEND CO.2014,86407,1519
FRANKLIN CO.2014,44000,5948
FREESTONE CO.2014,44072,3888
FRIO CO.2014,35681,4763
GAINES CO.2014,54434,4118
GALVESTON CO.2014,61744,1504
GARZA CO.2014,49479,8508
GILLESPIE CO.2014,52414,3250
GLASSCOCK CO.2014,81563,33105
GOLIAD CO.2014,49702,3522
GONZALES CO.2014,41263,4566
GRAY CO.2014,45179,3068
GRAYSON CO.2014,47631,1850
GREGG CO.2014,46391,1833
GRIMES CO.2014,46652,3688
GUADALUPE CO.2014,62412,1791
HALE CO.2014,42303,2022
HALL CO.2014,33205,4824
HAMILTON CO.2014,42211,3906
HANSFORD CO.2014,46181,5946
HARDEMAN CO.2014,37656,9959
HARDIN CO.2014,52438,2967
HARRIS CO.2014,53822,338
HARRISON CO.2014,46969,2306
HARTLEY CO.2014,65132,4497
HASKELL CO.2014,42645,7172
HAYS CO.2014,58878,1812
HEMPHILL CO.2014,58281,10069
HENDERSON CO.2014,40299,1322
HIDALGO CO.2014,34952,783
HILL CO.2014,40994,1584
HOCKLEY CO.2014,50485,3097
HOOD CO.2014,54397,3352
HOPKINS CO.2014,45158,2694
HOUSTON CO.2014,32855,1815
HOWARD CO.2014,47994,2722
HUDSPETH CO.2014,23350,3006
HUNT CO.2014,44898,1734
HUTCHINSON CO.2014,47191,2233
IRION CO.2014,54886,10788
JACK CO.2014,45130,10099
JACKSON CO.2014,50856,3352
JASPER CO.2014,39176,3584
JEFF DAVIS CO.2014,51357,5026
JEFFERSON CO.2014,42368,1072
JIM HOGG CO.2014,38013,6185
JIM WELLS CO.2014,42463,1824
JOHNSON CO.2014,58221,1201
JONES CO.2014,42287,3614
KARNES CO.2014,44650,3908
KAUFMAN CO.2014,61459,2471
KENDALL CO.2014,74320,5148
KENEDY CO.2014,36563,15040
KENT CO.2014,46842,6338
KERR CO.2014,42930,2547
KIMBLE CO.2014,40000,5496
KING CO.2014,54583,17771
KINNEY CO.2014,32473,8639
KLEBERG CO.2014,37725,3202
KNOX CO.2014,37018,5785
LAMAR CO.2014,41130,1601
LAMB CO.2014,37161,2806
LAMPASAS CO.2014,48862,2706
LA SALLE CO.2014,35554,3976
LAVACA CO.2014,45780,2683
LEE CO.2014,52452,4425
LEON CO.2014,48763,4622
LIBERTY CO.2014,47722,2765
LIMESTONE CO.2014,39484,2341
LIPSCOMB CO.2014,61151,4629
LIVE OAK CO.2014,44579,6279
LLANO CO.2014,45205,4040
LOVING CO.2014,65625,69245
LUBBOCK CO.2014,45529,757
LYNN CO.2014,41541,3808
MCCULLOCH CO.2014,40908,4134
MCLENNAN CO.2014,42544,1296
MCMULLEN CO.2014,45208,23482
MADISON CO.2014,40879,4178
MARION CO.2014,34363,3929
MARTIN CO.2014,52232,10907
MASON CO.2014,45536,9568
MATAGORDA CO.2014,40410,4324
MAVERICK CO.2014,32536,2086
MEDINA CO.2014,56338,2395
MENARD CO.2014,34091,6979
MIDLAND CO.2014,66966,2066
MILAM CO.2014,37183,2161
MILLS CO.2014,44241,4672
MITCHELL CO.2014,45769,7952
MONTAGUE CO.2014,45897,2087
MONTGOMERY CO.2014,68840,1349
MOORE CO.2014,48149,4504
MORRIS CO.2014,39387,2891
MOTLEY CO.2014,34853,4915
NACOGDOCHES CO.2014,39126,1760
NAVARRO CO.2014,40976,1405
NEWTON CO.2014,36890,3737
NOLAN CO.2014,37342,1779
NUECES CO.2014,49368,1529
OCHILTREE CO.2014,51115,2170
OLDHAM CO.2014,51250,11073
ORANGE CO.2014,48766,2589
PALO PINTO CO.2014,41370,2798
PANOLA CO.2014,51794,2229
PARKER CO.2014,64979,2432
PARMER CO.2014,46308,4275
PECOS CO.2014,49421,4051
POLK CO.2014,39412,2094
POTTER CO.2014,37758,1433
PRESIDIO CO.2014,30983,4830
RAINS CO.2014,46531,5308
RANDALL CO.2014,60895,1675
REAGAN CO.2014,52692,9001
REAL CO.2014,37019,5903
RED RIVER CO.2014,31344,2149
REEVES CO.2014,44950,5659
REFUGIO CO.2014,44688,4656
ROBERTS CO.2014,73182,9389
ROBERTSON CO.2014,43371,4644
ROCKWALL CO.2014,86597,4112
RUNNELS CO.2014,38684,3359
RUSK CO.2014,46924,2153
SABINE CO.2014,33951,2965
SAN AUGUSTINE CO.2014,29293,3836
SAN JACINTO CO.2014,46969,5102
SAN PATRICIO CO.2014,51760,1710
SAN SABA CO.2014,38065,2860
SCHLEICHER CO.2014,44643,12703
SCURRY CO.2014,50829,3510
SHACKELFORD CO.2014,50857,8163
SHELBY CO.2014,36250,1956
SHERMAN CO.2014,49219,6546
SMITH CO.2014,46669,1367
SOMERVELL CO.2014,51190,6512
STARR CO.2014,25906,1702
STEPHENS CO.2014,43082,3034
STERLING CO.2014,50509,15906
STONEWALL CO.2014,42321,9816
SUTTON CO.2014,48986,3592
SWISHER CO.2014,37833,6137
TARRANT CO.2014,57727,565
TAYLOR CO.2014,44695,1406
TERRELL CO.2014,40781,11740
TERRY CO.2014,39494,4152
THROCKMORTON CO.2014,40833,3350
TITUS CO.2014,42856,2719
TOM GREEN CO.2014,45114,1650
TRAVIS CO.2014,59620,839
TRINITY CO.2014,35223,2732
TYLER CO.2014,41630,2106
UPSHUR CO.2014,46834,2830
UPTON CO.2014,50982,11224
UVALDE CO.2014,37078,3229
VAL VERDE CO.2014,42735,2487
VAN ZANDT CO.2014,42579,2157
VICTORIA CO.2014,50663,1537
WALKER CO.2014,38903,2027
WALLER CO.2014,50939,4834
WARD CO.2014,45938,7599
WASHINGTON CO.2014,49236,4054
WEBB CO.2014,38679,991
WHARTON CO.2014,41992,3208
WHEELER CO.2014,54382,2608
WICHITA CO.2014,44854,1437
WILBARGER CO.2014,41901,3421
WILLACY CO.2014,27627,2595
WILLIAMSON CO.2014,72118,1066
WILSON CO.2014,65760,3755
WINKLER CO.2014,52938,4249
WISE CO.2014,56338,2857
WOOD CO.2014,44376,2116
YOAKUM CO.2014,50167,11040
YOUNG CO.2014,41589,4630
ZAPATA CO.2014,30758,3975
ZAVALA CO.2014,27253,5783
