name,estimate,moe
ALAMEDA CO.2009,68863,672
ALPINE CO.2009,54605,17009
AMADOR CO.2009,57347,3857
BUTTE CO.2009,42002,1295
CALAVERAS CO.2009,57676,3490
COLUSA CO.2009,47150,4129
CONTRA COSTA CO.2009,77838,718
DEL NORTE CO.2009,38408,4044
EL DORADO CO.2009,70765,1640
FRESNO CO.2009,46230,597
GLENN CO.2009,40973,1743
HUMBOLDT CO.2009,39124,1423
IMPERIAL CO.2009,37595,1447
INYO CO.2009,44952,4864
KERN CO.2009,46216,773
KINGS CO.2009,46595,1639
LAKE CO.2009,41182,2052
LASSEN CO.2009,48653,3412
LOS ANGELES CO.2009,54828,244
MADERA CO.2009,46083,1744
MARIN CO.2009,87728,1569
MARIPOSA CO.2009,47808,6551
MENDOCINO CO.2009,43404,1169
MERCED CO.2009,43848,1324
MODOC CO.2009,34007,2086
MONO CO.2009,51970,4174
MONTEREY CO.2009,59693,1049
NAPA CO.2009,68416,3096
NEVADA CO.2009,58186,1850
ORANGE CO.2009,73738,438
PLACER CO.2009,73550,1336
PLUMAS CO.2009,44727,2789
RIVERSIDE CO.2009,58155,455
SACRAMENTO CO.2009,56799,501
SAN BENITO CO.2009,68567,5086
SAN BERNARDINO CO.2009,55461,538
SAN DIEGO CO.2009,62901,455
SAN FRANCISCO CO.2009,70040,1023
SAN JOAQUIN CO.2009,54540,734
SAN LUIS OBISPO CO.2009,55555,1442
SAN MATEO CO.2009,84426,1031
SANTA BARBARA CO.2009,59350,1060
SANTA CLARA CO.2009,85569,864
SANTA CRUZ CO.2009,64349,1232
SHASTA CO.2009,44755,1198
SIERRA CO.2009,53750,8418
SISKIYOU CO.2009,37938,1598
SOLANO CO.2009,67920,1215
SONOMA CO.2009,63848,1070
STANISLAUS CO.2009,51529,978
SUTTER CO.2009,52155,1631
TEHAMA CO.2009,36949,1028
TRINITY CO.2009,35551,3186
TULARE CO.2009,43164,884
TUOLUMNE CO.2009,48354,3255
VENTURA CO.2009,74828,968
YOLO CO.2009,56232,1414
YUBA CO.2009,46410,1866
