name,estimate,moe
ALAMEDA CO.2013,72112,791
ALPINE CO.2013,58636,4440
AMADOR CO.2013,53684,3619
BUTTE CO.2013,43752,1016
CALAVERAS CO.2013,55295,2657
COLUSA CO.2013,52158,3015
CONTRA COSTA CO.2013,78756,1124
DEL NORTE CO.2013,37909,4058
EL DORADO CO.2013,69297,2006
FRESNO CO.2013,45563,638
GLENN CO.2013,43023,4770
HUMBOLDT CO.2013,41426,1300
IMPERIAL CO.2013,41807,1164
INYO CO.2013,44796,2174
KERN CO.2013,48552,697
KINGS CO.2013,48133,1384
LAKE CO.2013,36548,2344
LASSEN CO.2013,53107,2579
LOS ANGELES CO.2013,55909,256
MADERA CO.2013,45625,2264
MARIN CO.2013,90839,2396
MARIPOSA CO.2013,49820,5755
MENDOCINO CO.2013,43469,1647
MERCED CO.2013,42591,1310
MODOC CO.2013,36212,4104
MONO CO.2013,61757,6003
MONTEREY CO.2013,59168,1037
NAPA CO.2013,70443,1994
NEVADA CO.2013,57353,2119
ORANGE CO.2013,75422,509
PLACER CO.2013,72725,1421
PLUMAS CO.2013,45794,3583
RIVERSIDE CO.2013,56529,574
SACRAMENTO CO.2013,55064,512
SAN BENITO CO.2013,66237,3175
SAN BERNARDINO CO.2013,54090,511
SAN DIEGO CO.2013,62962,410
SAN FRANCISCO CO.2013,75604,976
SAN JOAQUIN CO.2013,53380,761
SAN LUIS OBISPO CO.2013,58697,1282
SAN MATEO CO.2013,88202,1719
SANTA BARBARA CO.2013,62779,1294
SANTA CLARA CO.2013,91702,705
SANTA CRUZ CO.2013,66519,1915
SHASTA CO.2013,44651,1324
SIERRA CO.2013,39009,7591
SISKIYOU CO.2013,37709,1621
SOLANO CO.2013,67177,1361
SONOMA CO.2013,63356,1036
STANISLAUS CO.2013,49297,890
SUTTER CO.2013,50408,1606
TEHAMA CO.2013,41924,2013
TRINITY CO.2013,36890,4322
TULARE CO.2013,42708,896
TUOLUMNE CO.2013,48426,1886
VENTURA CO.2013,76544,758
YOLO CO.2013,55918,2010
YUBA CO.2013,44902,2025
