name,estimate,moe
ALAMEDA CO.2018,85743,940
ALPINE CO.2018,63438,4535
AMADOR CO.2018,60636,2765
BUTTE CO.2018,46516,1130
CALAVERAS CO.2018,54800,3529
COLUSA CO.2018,56481,4858
CONTRA COSTA CO.2018,88456,822
DEL NORTE CO.2018,41287,4114
EL DORADO CO.2018,74885,2565
FRESNO CO.2018,48730,655
GLENN CO.2018,46260,3402
HUMBOLDT CO.2018,43718,1579
IMPERIAL CO.2018,44779,1850
INYO CO.2018,51500,4578
KERN CO.2018,50826,771
KINGS CO.2018,49742,1744
LAKE CO.2018,40446,2857
LASSEN CO.2018,54083,2927
LOS ANGELES CO.2018,61015,262
MADERA CO.2018,48210,2108
MARIN CO.2018,104703,1763
MARIPOSA CO.2018,51385,3637
MENDOCINO CO.2018,46528,1787
MERCED CO.2018,46338,1301
MODOC CO.2018,39296,4907
MONO CO.2018,60595,6356
MONTEREY CO.2018,63249,1209
NAPA CO.2018,79637,1895
NEVADA CO.2018,60610,2262
ORANGE CO.2018,81851,570
PLACER CO.2018,80488,1431
PLUMAS CO.2018,50266,3476
RIVERSIDE CO.2018,60807,429
SACRAMENTO CO.2018,60239,475
SAN BENITO CO.2018,80760,3889
SAN BERNARDINO CO.2018,57156,594
SAN DIEGO CO.2018,70588,617
SAN FRANCISCO CO.2018,96265,1349
SAN JOAQUIN CO.2018,57813,863
SAN LUIS OBISPO CO.2018,67175,1720
SAN MATEO CO.2018,105667,1195
SANTA BARBARA CO.2018,68023,1420
SANTA CLARA CO.2018,106761,858
SANTA CRUZ CO.2018,73663,1682
SHASTA CO.2018,47258,1104
SIERRA CO.2018,44190,9650
SISKIYOU CO.2018,40884,1957
SOLANO CO.2018,72950,1244
SONOMA CO.2018,71769,1046
STANISLAUS CO.2018,54260,976
SUTTER CO.2018,54347,2000
TEHAMA CO.2018,42512,2803
TRINITY CO.2018,36563,5946
TULARE CO.2018,44871,1286
TUOLUMNE CO.2018,54325,2700
VENTURA CO.2018,81972,983
YOLO CO.2018,61621,1733
YUBA CO.2018,51776,2375
