name,estimate,moe
ALAMEDA CO.2011,70821,789
ALPINE CO.2011,59018,12900
AMADOR CO.2011,56180,3453
BUTTE CO.2011,42971,1388
CALAVERAS CO.2011,55256,3711
COLUSA CO.2011,49558,3938
CONTRA COSTA CO.2011,79135,1017
DEL NORTE CO.2011,37588,5360
EL DORADO CO.2011,68815,2021
FRESNO CO.2011,46903,702
GLENN CO.2011,43239,2432
HUMBOLDT CO.2011,40376,1196
IMPERIAL CO.2011,39402,1479
INYO CO.2011,49571,4690
KERN CO.2011,48021,800
KINGS CO.2011,48838,1893
LAKE CO.2011,39525,2054
LASSEN CO.2011,52484,5291
LOS ANGELES CO.2011,56266,237
MADERA CO.2011,47724,2125
MARIN CO.2011,89605,2172
MARIPOSA CO.2011,49174,5558
MENDOCINO CO.2011,44527,2035
MERCED CO.2011,43945,1460
MODOC CO.2011,35402,3033
MONO CO.2011,60469,9445
MONTEREY CO.2011,59737,1114
NAPA CO.2011,68641,1817
NEVADA CO.2011,58077,2189
ORANGE CO.2011,75762,473
PLACER CO.2011,74645,1419
PLUMAS CO.2011,44151,2775
RIVERSIDE CO.2011,58365,610
SACRAMENTO CO.2011,56553,589
SAN BENITO CO.2011,65570,3553
SAN BERNARDINO CO.2011,55853,481
SAN DIEGO CO.2011,63857,476
SAN FRANCISCO CO.2011,72947,1028
SAN JOAQUIN CO.2011,53764,749
SAN LUIS OBISPO CO.2011,58630,1863
SAN MATEO CO.2011,87633,1124
SANTA BARBARA CO.2011,61896,1260
SANTA CLARA CO.2011,89064,855
SANTA CRUZ CO.2011,66030,1605
SHASTA CO.2011,44058,1192
SIERRA CO.2011,50308,11057
SISKIYOU CO.2011,37865,1404
SOLANO CO.2011,69914,1178
SONOMA CO.2011,64343,835
STANISLAUS CO.2011,50671,871
SUTTER CO.2011,50010,1836
TEHAMA CO.2011,38753,1238
TRINITY CO.2011,37672,3632
TULARE CO.2011,43550,1003
TUOLUMNE CO.2011,47359,1995
VENTURA CO.2011,76728,1121
YOLO CO.2011,57920,1553
YUBA CO.2011,46617,2762
