name,estimate,moe
ALAMEDA CO.2014,73775,762
ALPINE CO.2014,61343,4265
AMADOR CO.2014,52964,3595
BUTTE CO.2014,43165,1130
CALAVERAS CO.2014,54936,3175
COLUSA CO.2014,50503,3403
CONTRA COSTA CO.2014,79799,955
DEL NORTE CO.2014,39302,4825
EL DORADO CO.2014,68507,2109
FRESNO CO.2014,45201,713
GLENN CO.2014,40106,4665
HUMBOLDT CO.2014,42153,1275
IMPERIAL CO.2014,41772,1696
INYO CO.2014,45625,2684
KERN CO.2014,48574,913
KINGS CO.2014,47341,1550
LAKE CO.2014,35997,2154
LASSEN CO.2014,53351,3363
LOS ANGELES CO.2014,55870,244
MADERA CO.2014,45490,1912
MARIN CO.2014,91529,2681
MARIPOSA CO.2014,50560,3962
MENDOCINO CO.2014,43290,1704
MERCED CO.2014,43066,1381
MODOC CO.2014,38560,3271
MONO CO.2014,61814,5460
MONTEREY CO.2014,58582,983
NAPA CO.2014,70925,2288
NEVADA CO.2014,56949,2464
ORANGE CO.2014,75998,548
PLACER CO.2014,73747,1204
PLUMAS CO.2014,48032,3968
RIVERSIDE CO.2014,56592,523
SACRAMENTO CO.2014,55615,606
SAN BENITO CO.2014,67874,2626
SAN BERNARDINO CO.2014,54100,452
SAN DIEGO CO.2014,63996,576
SAN FRANCISCO CO.2014,78378,1490
SAN JOAQUIN CO.2014,53253,679
SAN LUIS OBISPO CO.2014,59454,1455
SAN MATEO CO.2014,91421,1320
SANTA BARBARA CO.2014,63409,1372
SANTA CLARA CO.2014,93854,745
SANTA CRUZ CO.2014,66923,1815
SHASTA CO.2014,44556,1108
SIERRA CO.2014,43107,7027
SISKIYOU CO.2014,37495,1719
SOLANO CO.2014,67341,1369
SONOMA CO.2014,63799,1179
STANISLAUS CO.2014,49573,1110
SUTTER CO.2014,51527,1534
TEHAMA CO.2014,42369,1978
TRINITY CO.2014,36862,5463
TULARE CO.2014,42863,901
TUOLUMNE CO.2014,48493,1823
VENTURA CO.2014,77335,779
YOLO CO.2014,55508,1754
YUBA CO.2014,45470,1777
