name,estimate
SAN JOAQUIN CO.2010,54341
SAN LUIS OBISPO CO.2010,57365
SAN MATEO CO.2010,85648
SANTA BARBARA CO.2010,60078
SANTA CLARA CO.2010,86850
SANTA CRUZ CO.2010,65253
SHASTA CO.2010,43944
SIERRA CO.2010,52950
SISKIYOU CO.2010,36981
SOLANO CO.2010,68409
SONOMA CO.2010,63274
STANISLAUS CO.2010,51094
SUTTER CO.2010,50944
TEHAMA CO.2010,38137
TRINITY CO.2010,38725
TULARE CO.2010,43851
TUOLUMNE CO.2010,47462
VENTURA CO.2010,75348
YOLO CO.2010,57077
YUBA CO.2010,46807
ALAMEDA CO.2011,70821
ALPINE CO.2011,59018
AMADOR CO.2011,56180
BUTTE CO.2011,42971
CALAVERAS CO.2011,55256
COLUSA CO.2011,49558
CONTRA COSTA CO.2011,79135
DEL NORTE CO.2011,37588
EL DORADO CO.2011,68815
FRESNO CO.2011,46903
GLENN CO.2011,43239
HUMBOLDT CO.2011,40376
IMPERIAL CO.2011,39402
INYO CO.2011,49571
KERN CO.2011,48021
KINGS CO.2011,48838
LAKE CO.2011,39525
LASSEN CO.2011,52484
LOS ANGELES CO.2011,56266
MADERA CO.2011,47724
MARIN CO.2011,89605
MARIPOSA CO.2011,49174
MENDOCINO CO.2011,44527
MERCED CO.2011,43945
MODOC CO.2011,35402
MONO CO.2011,60469
MONTEREY CO.2011,59737
NAPA CO.2011,68641
NEVADA CO.2011,58077
ORANGE CO.2011,75762
PLACER CO.2011,74645
PLUMAS CO.2011,44151
RIVERSIDE CO.2011,58365
SACRAMENTO CO.2011,56553
SAN BENITO CO.2011,65570
SAN BERNARDINO CO.2011,55853
SAN DIEGO CO.2011,63857
SAN FRANCISCO CO.2011,72947
SAN JOAQUIN CO.2011,53764
SAN LUIS OBISPO CO.2011,58630
SAN MATEO CO.2011,87633
SANTA BARBARA CO.2011,61896
SANTA CLARA CO.2011,89064
SANTA CRUZ CO.2011,66030
SHASTA CO.2011,44058
SIERRA CO.2011,50308
SISKIYOU CO.2011,37865
SOLANO CO.2011,69914
SONOMA CO.2011,64343
STANISLAUS CO.2011,50671
SUTTER CO.2011,50010
TEHAMA CO.2011,38753
TRINITY CO.2011,37672
TULARE CO.2011,43550
TUOLUMNE CO.2011,47359
VENTURA CO.2011,76728
YOLO CO.2011,57920
YUBA CO.2011,46617
ALAMEDA CO.2012,71516
ALPINE CO.2012,59931
AMADOR CO.2012,53462
BUTTE CO.2012,43339
CALAVERAS CO.2012,54686
COLUSA CO.2012,52165
CONTRA COSTA CO.2012,78187
DEL NORTE CO.2012,39626
EL DORADO CO.2012,70117
FRESNO CO.2012,45741
GLENN CO.2012,42641
HUMBOLDT CO.2012,40830
IMPERIAL CO.2012,41255
INYO CO.2012,45000
KERN CO.2012,47727
KINGS CO.2012,48761
LAKE CO.2012,38147
LASSEN CO.2012,51921
LOS ANGELES CO.2012,56241
MADERA CO.2012,47937
MARIN CO.2012,90962
MARIPOSA CO.2012,52584
MENDOCINO CO.2012,43721
MERCED CO.2012,43565
MODOC CO.2012,37482
MONO CO.2012,61868
MONTEREY CO.2012,60143
NAPA CO.2012,69571
NEVADA CO.2012,57382
ORANGE CO.2012,75566
PLACER CO.2012,73356
PLUMAS CO.2012,45358
RIVERSIDE CO.2012,57096
SACRAMENTO CO.2012,55846
SAN BENITO CO.2012,63939
SAN BERNARDINO CO.2012,54750
SAN DIEGO CO.2012,63373
SAN FRANCISCO CO.2012,73802
SAN JOAQUIN CO.2012,53895
SAN LUIS OBISPO CO.2012,59628
SAN MATEO CO.2012,87751
SANTA BARBARA CO.2012,62723
SANTA CLARA CO.2012,90747
SANTA CRUZ CO.2012,66571
SHASTA CO.2012,44396
SIERRA CO.2012,42500
SISKIYOU CO.2012,37948
SOLANO CO.2012,69006
SONOMA CO.2012,63565
STANISLAUS CO.2012,49866
SUTTER CO.2012,50510
TEHAMA CO.2012,40307
TRINITY CO.2012,36569
TULARE CO.2012,43803
TUOLUMNE CO.2012,48169
VENTURA CO.2012,76483
YOLO CO.2012,57260
YUBA CO.2012,46641
ALAMEDA CO.2013,72112
ALPINE CO.2013,58636
AMADOR CO.2013,53684
BUTTE CO.2013,43752
CALAVERAS CO.2013,55295
COLUSA CO.2013,52158
CONTRA COSTA CO.2013,78756
DEL NORTE CO.2013,37909
EL DORADO CO.2013,69297
FRESNO CO.2013,45563
GLENN CO.2013,43023
HUMBOLDT CO.2013,41426
IMPERIAL CO.2013,41807
INYO CO.2013,44796
KERN CO.2013,48552
KINGS CO.2013,48133
LAKE CO.2013,36548
LASSEN CO.2013,53107
LOS ANGELES CO.2013,55909
MADERA CO.2013,45625
MARIN CO.2013,90839
MARIPOSA CO.2013,49820
MENDOCINO CO.2013,43469
MERCED CO.2013,42591
MODOC CO.2013,36212
MONO CO.2013,61757
MONTEREY CO.2013,59168
NAPA CO.2013,70443
NEVADA CO.2013,57353
ORANGE CO.2013,75422
PLACER CO.2013,72725
PLUMAS CO.2013,45794
RIVERSIDE CO.2013,56529
SACRAMENTO CO.2013,55064
SAN BENITO CO.2013,66237
SAN BERNARDINO CO.2013,54090
SAN DIEGO CO.2013,62962
SAN FRANCISCO CO.2013,75604
SAN JOAQUIN CO.2013,53380
SAN LUIS OBISPO CO.2013,58697
SAN MATEO CO.2013,88202
SANTA BARBARA CO.2013,62779
SANTA CLARA CO.2013,91702
SANTA CRUZ CO.2013,66519
SHASTA CO.2013,44651
SIERRA CO.2013,39009
SISKIYOU CO.2013,37709
SOLANO CO.2013,67177
SONOMA CO.2013,63356
STANISLAUS CO.2013,49297
SUTTER CO.2013,50408
TEHAMA CO.2013,41924
TRINITY CO.2013,36890
TULARE CO.2013,42708
TUOLUMNE CO.2013,48426
VENTURA CO.2013,76544
YOLO CO.2013,55918
YUBA CO.2013,44902
ALAMEDA CO.2014,73775
ALPINE CO.2014,61343
AMADOR CO.2014,52964
BUTTE CO.2014,43165
CALAVERAS CO.2014,54936
COLUSA CO.2014,50503
CONTRA COSTA CO.2014,79799
DEL NORTE CO.2014,39302
EL DORADO CO.2014,68507
FRESNO CO.2014,45201
GLENN CO.2014,40106
HUMBOLDT CO.2014,42153
IMPERIAL CO.2014,41772
INYO CO.2014,45625
KERN CO.2014,48574
KINGS CO.2014,47341
LAKE CO.2014,35997
LASSEN CO.2014,53351
LOS ANGELES CO.2014,55870
MADERA CO.2014,45490
MARIN CO.2014,91529
MARIPOSA CO.2014,50560
MENDOCINO CO.2014,43290
MERCED CO.2014,43066
MODOC CO.2014,38560
MONO CO.2014,61814
MONTEREY CO.2014,58582
NAPA CO.2014,70925
NEVADA CO.2014,56949
ORANGE CO.2014,75998
PLACER CO.2014,73747
PLUMAS CO.2014,48032
RIVERSIDE CO.2014,56592
SACRAMENTO CO.2014,55615
SAN BENITO CO.2014,67874
SAN BERNARDINO CO.2014,54100
SAN DIEGO CO.2014,63996
SAN FRANCISCO CO.2014,78378
SAN JOAQUIN CO.2014,53253
SAN LUIS OBISPO CO.2014,59454
SAN MATEO CO.2014,91421
SANTA BARBARA CO.2014,63409
SANTA CLARA CO.2014,93854
SANTA CRUZ CO.2014,66923
SHASTA CO.2014,44556
SIERRA CO.2014,43107
SISKIYOU CO.2014,37495
SOLANO CO.2014,67341
SONOMA CO.2014,63799
STANISLAUS CO.2014,49573
SUTTER CO.2014,51527
TEHAMA CO.2014,42369
TRINITY CO.2014,36862
TULARE CO.2014,42863
TUOLUMNE CO.2014,48493
VENTURA CO.2014,77335
YOLO CO.2014,55508
YUBA CO.2014,45470
ALAMEDA CO.2015,75619
ALPINE CO.2015,52917
AMADOR CO.2015,54171
BUTTE CO.2015,43444
CALAVERAS CO.2015,53233
COLUSA CO.2015,52168
CONTRA COSTA CO.2015,80185
DEL NORTE CO.2015,40847
EL DORADO CO.2015,69584
FRESNO CO.2015,45233
GLENN CO.2015,39349
HUMBOLDT CO.2015,42197
IMPERIAL CO.2015,41079
INYO CO.2015,45955
KERN CO.2015,49026
KINGS CO.2015,46481
LAKE CO.2015,35578
LASSEN CO.2015,51555
LOS ANGELES CO.2015,56196
MADERA CO.2015,45073
MARIN CO.2015,93257
MARIPOSA CO.2015,47681
MENDOCINO CO.2015,42980
MERCED CO.2015,42462
MODOC CO.2015,37860
MONO CO.2015,56944
MONTEREY CO.2015,58783
NAPA CO.2015,71379
NEVADA CO.2015,56521
ORANGE CO.2015,76509
PLACER CO.2015,73948
PLUMAS CO.2015,47333
RIVERSIDE CO.2015,56603
SACRAMENTO CO.2015,55987
SAN BENITO CO.2015,71077
SAN BERNARDINO CO.2015,53433
SAN DIEGO CO.2015,64309
SAN FRANCISCO CO.2015,81294
SAN JOAQUIN CO.2015,53274
