name,estimate,moe
ALAMEDA CO.2015,75619,613
ALPINE CO.2015,52917,13603
AMADOR CO.2015,54171,4208
BUTTE CO.2015,43444,1068
CALAVERAS CO.2015,53233,3774
COLUSA CO.2015,52168,2583
CONTRA COSTA CO.2015,80185,827
DEL NORTE CO.2015,40847,4369
EL DORADO CO.2015,69584,1835
FRESNO CO.2015,45233,692
GLENN CO.2015,39349,4204
HUMBOLDT CO.2015,42197,1183
IMPERIAL CO.2015,41079,1556
INYO CO.2015,45955,2280
KERN CO.2015,49026,865
KINGS CO.2015,46481,1200
LAKE CO.2015,35578,2034
LASSEN CO.2015,51555,2789
LOS ANGELES CO.2015,56196,270
MADERA CO.2015,45073,1837
MARIN CO.2015,93257,2610
MARIPOSA CO.2015,47681,4294
MENDOCINO CO.2015,42980,1757
MERCED CO.2015,42462,1214
MODOC CO.2015,37860,4210
MONO CO.2015,56944,10734
MONTEREY CO.2015,58783,1121
NAPA CO.2015,71379,2063
NEVADA CO.2015,56521,2539
ORANGE CO.2015,76509,426
PLACER CO.2015,73948,1220
PLUMAS CO.2015,47333,3575
RIVERSIDE CO.2015,56603,478
SACRAMENTO CO.2015,55987,594
SAN BENITO CO.2015,71077,2019
SAN BERNARDINO CO.2015,53433,571
SAN DIEGO CO.2015,64309,514
SAN FRANCISCO CO.2015,81294,1099
SAN JOAQUIN CO.2015,53274,946
SAN LUIS OBISPO CO.2015,60691,1137
SAN MATEO CO.2015,93623,1412
SANTA BARBARA CO.2015,63985,1293
SANTA CLARA CO.2015,96310,783
SANTA CRUZ CO.2015,67256,1534
SHASTA CO.2015,44620,1209
SIERRA CO.2015,42833,8464
SISKIYOU CO.2015,37170,1702
SOLANO CO.2015,66828,1238
SONOMA CO.2015,64240,1224
STANISLAUS CO.2015,50125,718
SUTTER CO.2015,52017,1350
TEHAMA CO.2015,41001,2564
TRINITY CO.2015,34974,4081
TULARE CO.2015,42031,920
TUOLUMNE CO.2015,50306,2202
VENTURA CO.2015,77348,954
YOLO CO.2015,54989,1553
YUBA CO.2015,46892,1931
