name,estimate,moe
ALAMEDA CO.2010,69384,876
ALPINE CO.2010,63478,16309
AMADOR CO.2010,54758,3340
BUTTE CO.2010,43170,982
CALAVERAS CO.2010,54971,4905
COLUSA CO.2010,48016,4404
CONTRA COSTA CO.2010,78385,859
DEL NORTE CO.2010,36118,4870
EL DORADO CO.2010,70000,1769
FRESNO CO.2010,46430,658
GLENN CO.2010,43074,2413
HUMBOLDT CO.2010,40089,1219
IMPERIAL CO.2010,38685,1312
INYO CO.2010,44808,3693
KERN CO.2010,47089,691
KINGS CO.2010,48684,1892
LAKE CO.2010,39491,1615
LASSEN CO.2010,50317,4275
LOS ANGELES CO.2010,55476,234
MADERA CO.2010,46039,1652
MARIN CO.2010,89268,1957
MARIPOSA CO.2010,49098,5838
MENDOCINO CO.2010,43759,1346
MERCED CO.2010,43844,1566
MODOC CO.2010,34588,2797
MONO CO.2010,55087,7461
MONTEREY CO.2010,59271,1270
NAPA CO.2010,67389,2141
NEVADA CO.2010,57121,1881
ORANGE CO.2010,74344,498
PLACER CO.2010,74447,1226
PLUMAS CO.2010,44000,2761
RIVERSIDE CO.2010,57768,598
SACRAMENTO CO.2010,56439,590
SAN BENITO CO.2010,65771,2445
SAN BERNARDINO CO.2010,55845,482
SAN DIEGO CO.2010,63069,464
SAN FRANCISCO CO.2010,71304,899
SAN JOAQUIN CO.2010,54341,909
SAN LUIS OBISPO CO.2010,57365,1444
SAN MATEO CO.2010,85648,877
SANTA BARBARA CO.2010,60078,1101
SANTA CLARA CO.2010,86850,730
SANTA CRUZ CO.2010,65253,1187
SHASTA CO.2010,43944,1009
SIERRA CO.2010,52950,11434
SISKIYOU CO.2010,36981,1402
SOLANO CO.2010,68409,1175
SONOMA CO.2010,63274,1032
STANISLAUS CO.2010,51094,771
SUTTER CO.2010,50944,1785
TEHAMA CO.2010,38137,1107
TRINITY CO.2010,38725,4735
TULARE CO.2010,43851,860
TUOLUMNE CO.2010,47462,2518
VENTURA CO.2010,75348,951
YOLO CO.2010,57077,1608
YUBA CO.2010,46807,2824
