name,estimate,moe
ALAMEDA CO.2016,79831,739
ALPINE CO.2016,62375,5989
AMADOR CO.2016,57032,3247
BUTTE CO.2016,44366,1131
CALAVERAS CO.2016,53502,3912
COLUSA CO.2016,54946,3336
CONTRA COSTA CO.2016,82881,984
DEL NORTE CO.2016,42363,3792
EL DORADO CO.2016,72586,1756
FRESNO CO.2016,45963,661
GLENN CO.2016,41699,3688
HUMBOLDT CO.2016,42685,1286
IMPERIAL CO.2016,42560,1587
INYO CO.2016,47278,3449
KERN CO.2016,49788,909
KINGS CO.2016,47241,1395
LAKE CO.2016,36132,2745
LASSEN CO.2016,51457,2483
LOS ANGELES CO.2016,57952,331
MADERA CO.2016,45742,1704
MARIN CO.2016,100310,1876
MARIPOSA CO.2016,49265,3372
MENDOCINO CO.2016,43510,1518
MERCED CO.2016,44397,1141
MODOC CO.2016,41194,3818
MONO CO.2016,58937,6409
MONTEREY CO.2016,60889,992
NAPA CO.2016,74609,1865
NEVADA CO.2016,57429,2569
ORANGE CO.2016,78145,490
PLACER CO.2016,76926,1293
PLUMAS CO.2016,50125,3068
RIVERSIDE CO.2016,57972,542
SACRAMENTO CO.2016,57509,578
SAN BENITO CO.2016,73814,3746
SAN BERNARDINO CO.2016,54469,559
SAN DIEGO CO.2016,66529,460
SAN FRANCISCO CO.2016,87701,1447
SAN JOAQUIN CO.2016,55045,896
SAN LUIS OBISPO CO.2016,64014,1807
SAN MATEO CO.2016,98546,1232
SANTA BARBARA CO.2016,65161,1202
SANTA CLARA CO.2016,101173,661
SANTA CRUZ CO.2016,70088,1935
SHASTA CO.2016,45582,963
SIERRA CO.2016,43984,11767
SISKIYOU CO.2016,38524,2078
SOLANO CO.2016,69227,1596
SONOMA CO.2016,66833,1161
STANISLAUS CO.2016,51591,797
SUTTER CO.2016,52943,1645
TEHAMA CO.2016,40687,2118
TRINITY CO.2016,35270,3838
TULARE CO.2016,42789,1042
TUOLUMNE CO.2016,50731,1795
VENTURA CO.2016,78593,962
YOLO CO.2016,57663,1664
YUBA CO.2016,48739,2031
