name,estimate,moe
ALAMEDA CO.,85743,940
ALPINE CO.,63438,4535
AMADOR CO.,60636,2765
BUTTE CO.,46516,1130
CALAVERAS CO.,54800,3529
COLUSA CO.,56481,4858
CONTRA COSTA CO.,88456,822
DEL NORTE CO.,41287,4114
EL DORADO CO.,74885,2565
FRESNO CO.,48730,655
GLENN CO.,46260,3402
HUMBOLDT CO.,43718,1579
IMPERIAL CO.,44779,1850
INYO CO.,51500,4578
KERN CO.,50826,771
KINGS CO.,49742,1744
LAKE CO.,40446,2857
LASSEN CO.,54083,2927
LOS ANGELES CO.,61015,262
MADERA CO.,48210,2108
MARIN CO.,104703,1763
MARIPOSA CO.,51385,3637
MENDOCINO CO.,46528,1787
MERCED CO.,46338,1301
MODOC CO.,39296,4907
MONO CO.,60595,6356
MONTEREY CO.,63249,1209
NAPA CO.,79637,1895
NEVADA CO.,60610,2262
ORANGE CO.,81851,570
PLACER CO.,80488,1431
PLUMAS CO.,50266,3476
RIVERSIDE CO.,60807,429
SACRAMENTO CO.,60239,475
SAN BENITO CO.,80760,3889
SAN BERNARDINO CO.,57156,594
SAN DIEGO CO.,70588,617
SAN FRANCISCO CO.,96265,1349
SAN JOAQUIN CO.,57813,863
SAN LUIS OBISPO CO.,67175,1720
SAN MATEO CO.,105667,1195
SANTA BARBARA CO.,68023,1420
SANTA CLARA CO.,106761,858
SANTA CRUZ CO.,73663,1682
SHASTA CO.,47258,1104
SIERRA CO.,44190,9650
SISKIYOU CO.,40884,1957
SOLANO CO.,72950,1244
SONOMA CO.,71769,1046
STANISLAUS CO.,54260,976
SUTTER CO.,54347,2000
TEHAMA CO.,42512,2803
TRINITY CO.,36563,5946
TULARE CO.,44871,1286
TUOLUMNE CO.,54325,2700
VENTURA CO.,81972,983
YOLO CO.,61621,1733
YUBA CO.,51776,2375
