name,estimate,moe
ALAMEDA CO.,70821,789
ALPINE CO.,59018,12900
AMADOR CO.,56180,3453
BUTTE CO.,42971,1388
CALAVERAS CO.,55256,3711
COLUSA CO.,49558,3938
CONTRA COSTA CO.,79135,1017
DEL NORTE CO.,37588,5360
EL DORADO CO.,68815,2021
FRESNO CO.,46903,702
GLENN CO.,43239,2432
HUMBOLDT CO.,40376,1196
IMPERIAL CO.,39402,1479
INYO CO.,49571,4690
KERN CO.,48021,800
KINGS CO.,48838,1893
LAKE CO.,39525,2054
LASSEN CO.,52484,5291
LOS ANGELES CO.,56266,237
MADERA CO.,47724,2125
MARIN CO.,89605,2172
MARIPOSA CO.,49174,5558
MENDOCINO CO.,44527,2035
MERCED CO.,43945,1460
MODOC CO.,35402,3033
MONO CO.,60469,9445
MONTEREY CO.,59737,1114
NAPA CO.,68641,1817
NEVADA CO.,58077,2189
ORANGE CO.,75762,473
PLACER CO.,74645,1419
PLUMAS CO.,44151,2775
RIVERSIDE CO.,58365,610
SACRAMENTO CO.,56553,589
SAN BENITO CO.,65570,3553
SAN BERNARDINO CO.,55853,481
SAN DIEGO CO.,63857,476
SAN FRANCISCO CO.,72947,1028
SAN JOAQUIN CO.,53764,749
SAN LUIS OBISPO CO.,58630,1863
SAN MATEO CO.,87633,1124
SANTA BARBARA CO.,61896,1260
SANTA CLARA CO.,89064,855
SANTA CRUZ CO.,66030,1605
SHASTA CO.,44058,1192
SIERRA CO.,50308,11057
SISKIYOU CO.,37865,1404
SOLANO CO.,69914,1178
SONOMA CO.,64343,835
STANISLAUS CO.,50671,871
SUTTER CO.,50010,1836
TEHAMA CO.,38753,1238
TRINITY CO.,37672,3632
TULARE CO.,43550,1003
TUOLUMNE CO.,47359,1995
VENTURA CO.,76728,1121
YOLO CO.,57920,1553
YUBA CO.,46617,2762
