name,estimate,moe
ALAMEDA CO.,71516,707
ALPINE CO.,59931,9424
AMADOR CO.,53462,3001
BUTTE CO.,43339,1138
CALAVERAS CO.,54686,2615
COLUSA CO.,52165,3165
CONTRA COSTA CO.,78187,1082
DEL NORTE CO.,39626,4223
EL DORADO CO.,70117,1932
FRESNO CO.,45741,646
GLENN CO.,42641,4980
HUMBOLDT CO.,40830,1524
IMPERIAL CO.,41255,1301
INYO CO.,45000,2771
KERN CO.,47727,855
KINGS CO.,48761,1255
LAKE CO.,38147,2086
LASSEN CO.,51921,3072
LOS ANGELES CO.,56241,266
MADERA CO.,47937,1911
MARIN CO.,90962,2189
MARIPOSA CO.,52584,5844
MENDOCINO CO.,43721,2226
MERCED CO.,43565,1385
MODOC CO.,37482,2172
MONO CO.,61868,9290
MONTEREY CO.,60143,1081
NAPA CO.,69571,1746
NEVADA CO.,57382,2013
ORANGE CO.,75566,417
PLACER CO.,73356,1244
PLUMAS CO.,45358,2713
RIVERSIDE CO.,57096,485
SACRAMENTO CO.,55846,506
SAN BENITO CO.,63939,2603
SAN BERNARDINO CO.,54750,428
SAN DIEGO CO.,63373,437
SAN FRANCISCO CO.,73802,1026
SAN JOAQUIN CO.,53895,721
SAN LUIS OBISPO CO.,59628,1422
SAN MATEO CO.,87751,1114
SANTA BARBARA CO.,62723,1074
SANTA CLARA CO.,90747,721
SANTA CRUZ CO.,66571,2126
SHASTA CO.,44396,1074
SIERRA CO.,42500,9534
SISKIYOU CO.,37948,1640
SOLANO CO.,69006,1351
SONOMA CO.,63565,911
STANISLAUS CO.,49866,817
SUTTER CO.,50510,1655
TEHAMA CO.,40307,1475
TRINITY CO.,36569,3475
TULARE CO.,43803,776
TUOLUMNE CO.,48169,2203
VENTURA CO.,76483,852
YOLO CO.,57260,1807
YUBA CO.,46641,2644
