name,estimate,moe
ALAMEDA CO.,79831,739
ALPINE CO.,62375,5989
AMADOR CO.,57032,3247
BUTTE CO.,44366,1131
CALAVERAS CO.,53502,3912
COLUSA CO.,54946,3336
CONTRA COSTA CO.,82881,984
DEL NORTE CO.,42363,3792
EL DORADO CO.,72586,1756
FRESNO CO.,45963,661
GLENN CO.,41699,3688
HUMBOLDT CO.,42685,1286
IMPERIAL CO.,42560,1587
INYO CO.,47278,3449
KERN CO.,49788,909
KINGS CO.,47241,1395
LAKE CO.,36132,2745
LASSEN CO.,51457,2483
LOS ANGELES CO.,57952,331
MADERA CO.,45742,1704
MARIN CO.,100310,1876
MARIPOSA CO.,49265,3372
MENDOCINO CO.,43510,1518
MERCED CO.,44397,1141
MODOC CO.,41194,3818
MONO CO.,58937,6409
MONTEREY CO.,60889,992
NAPA CO.,74609,1865
NEVADA CO.,57429,2569
ORANGE CO.,78145,490
PLACER CO.,76926,1293
PLUMAS CO.,50125,3068
RIVERSIDE CO.,57972,542
SACRAMENTO CO.,57509,578
SAN BENITO CO.,73814,3746
SAN BERNARDINO CO.,54469,559
SAN DIEGO CO.,66529,460
SAN FRANCISCO CO.,87701,1447
SAN JOAQUIN CO.,55045,896
SAN LUIS OBISPO CO.,64014,1807
SAN MATEO CO.,98546,1232
SANTA BARBARA CO.,65161,1202
SANTA CLARA CO.,101173,661
SANTA CRUZ CO.,70088,1935
SHASTA CO.,45582,963
SIERRA CO.,43984,11767
SISKIYOU CO.,38524,2078
SOLANO CO.,69227,1596
SONOMA CO.,66833,1161
STANISLAUS CO.,51591,797
SUTTER CO.,52943,1645
TEHAMA CO.,40687,2118
TRINITY CO.,35270,3838
TULARE CO.,42789,1042
TUOLUMNE CO.,50731,1795
VENTURA CO.,78593,962
YOLO CO.,57663,1664
YUBA CO.,48739,2031
