name,estimate,moe
ANDERSON CO.,41327,1842
ANDREWS CO.,70423,6038
ANGELINA CO.,44223,1611
ARANSAS CO.,41690,3678
ARCHER CO.,60275,5182
ARMSTRONG CO.,59737,4968
ATASCOSA CO.,52192,3005
AUSTIN CO.,53687,3810
BAILEY CO.,37397,8652
BANDERA CO.,49863,7193
BASTROP CO.,54821,2362
BAYLOR CO.,36373,7151
BEE CO.,42302,3403
BELL CO.,50550,821
BEXAR CO.,51150,405
BLANCO CO.,55504,4992
BORDEN CO.,73750,8208
BOSQUE CO.,44674,3329
BOWIE CO.,42670,1701
BRAZORIA CO.,69749,2073
BRAZOS CO.,39808,1299
BREWSTER CO.,38395,5230
BRISCOE CO.,38603,7119
BROOKS CO.,22741,3037
BROWN CO.,41962,2246
BURLESON CO.,51821,4534
BURNET CO.,49732,3192
CALDWELL CO.,47233,2036
CALHOUN CO.,51078,5676
CALLAHAN CO.,40981,3389
CAMERON CO.,33266,884
CAMP CO.,37851,3394
CARSON CO.,66023,7713
CASS CO.,37352,2430
CASTRO CO.,39459,3380
CHAMBERS CO.,70544,6404
CHEROKEE CO.,39595,1845
CHILDRESS CO.,36633,8958
CLAY CO.,48297,3407
COCHRAN CO.,39113,3514
COKE CO.,42467,5324
COLEMAN CO.,35156,4158
COLLIN CO.,84735,1217
COLLINGSWORTH CO.,39743,7242
COLORADO CO.,46618,2516
COMAL CO.,65833,3291
COMANCHE CO.,37470,2513
CONCHO CO.,48368,5302
COOKE CO.,52406,3128
CORYELL CO.,49340,1526
COTTLE CO.,34955,3894
CRANE CO.,58333,6374
CROCKETT CO.,53678,8534
CROSBY CO.,37434,2321
CULBERSON CO.,35000,5602
DALLAM CO.,41345,3462
DALLAS CO.,50270,333
DAWSON CO.,41095,2591
DEAF SMITH CO.,43373,3130
DELTA CO.,42432,4872
DENTON CO.,75050,1057
DEWITT CO.,49736,5142
DICKENS CO.,39700,4253
DIMMIT CO.,36825,5948
DONLEY CO.,36681,4127
DUVAL CO.,33939,5080
EASTLAND CO.,34888,3563
ECTOR CO.,57150,2189
EDWARDS CO.,41813,16850
ELLIS CO.,62465,2002
EL PASO CO.,41637,545
ERATH CO.,41416,1503
FALLS CO.,36079,2516
FANNIN CO.,44071,2934
FAYETTE CO.,47808,4108
FISHER CO.,41406,2956
FLOYD CO.,41026,4376
FOARD CO.,36477,7406
FORT BEND CO.,89152,1584
FRANKLIN CO.,41537,5744
FREESTONE CO.,44301,3918
FRIO CO.,36404,4068
GAINES CO.,57635,6294
GALVESTON CO.,62313,1675
GARZA CO.,48508,5305
GILLESPIE CO.,54859,3635
GLASSCOCK CO.,67303,17246
GOLIAD CO.,51226,3258
GONZALES CO.,42983,2287
GRAY CO.,43288,2693
GRAYSON CO.,47952,1896
GREGG CO.,47639,1690
GRIMES CO.,46195,2338
GUADALUPE CO.,62420,1828
HALE CO.,43375,2063
HALL CO.,30950,4283
HAMILTON CO.,42432,5528
HANSFORD CO.,44219,6188
HARDEMAN CO.,37174,4799
HARDIN CO.,52614,2456
HARRIS CO.,54457,400
HARRISON CO.,45974,2696
HARTLEY CO.,63004,4591
HASKELL CO.,39850,6568
HAYS CO.,58583,2124
HEMPHILL CO.,62813,4638
HENDERSON CO.,41607,1330
HIDALGO CO.,34782,734
HILL CO.,41382,1897
HOCKLEY CO.,50665,2310
HOOD CO.,56100,2659
HOPKINS CO.,44396,2791
HOUSTON CO.,32698,2434
HOWARD CO.,49575,2957
HUDSPETH CO.,26384,2873
HUNT CO.,45197,1896
HUTCHINSON CO.,49353,3242
IRION CO.,58500,7101
JACK CO.,50324,7203
JACKSON CO.,54926,4976
JASPER CO.,40820,3325
JEFF DAVIS CO.,50165,6378
JEFFERSON CO.,43540,1070
JIM HOGG CO.,35521,5606
JIM WELLS CO.,42986,4198
JOHNSON CO.,58135,1678
JONES CO.,43897,5136
KARNES CO.,45502,4170
KAUFMAN CO.,60391,2724
KENDALL CO.,73240,5878
KENEDY CO.,36438,10695
KENT CO.,47024,8739
KERR CO.,43810,2789
KIMBLE CO.,40125,6143
KING CO.,63250,21355
KINNEY CO.,38281,7317
KLEBERG CO.,38247,2992
KNOX CO.,40493,7401
LAMAR CO.,40748,1632
LAMB CO.,39851,3148
LAMPASAS CO.,49630,2600
LA SALLE CO.,37292,7064
LAVACA CO.,48677,2485
LEE CO.,53902,3576
LEON CO.,49802,3672
LIBERTY CO.,48729,2514
LIMESTONE CO.,37554,2526
LIPSCOMB CO.,63125,6474
LIVE OAK CO.,50400,5652
LLANO CO.,48259,4147
LOVING CO.,NA,NA
LUBBOCK CO.,46075,738
LYNN CO.,39526,3833
MCCULLOCH CO.,40561,3136
MCLENNAN CO.,42687,1183
MCMULLEN CO.,46250,15303
MADISON CO.,39390,3449
MARION CO.,34175,3051
MARTIN CO.,55682,14419
MASON CO.,37654,2989
MATAGORDA CO.,40797,3834
MAVERICK CO.,33747,2484
MEDINA CO.,57338,2701
MENARD CO.,34464,7243
MIDLAND CO.,68806,2877
MILAM CO.,38929,3148
MILLS CO.,43920,4799
MITCHELL CO.,49870,2833
MONTAGUE CO.,46172,1893
MONTGOMERY CO.,68838,1533
MOORE CO.,49802,3723
MORRIS CO.,39453,3350
MOTLEY CO.,31683,4603
NACOGDOCHES CO.,39538,2005
NAVARRO CO.,41505,1916
NEWTON CO.,38144,4657
NOLAN CO.,37102,2028
NUECES CO.,50337,922
OCHILTREE CO.,51517,3478
OLDHAM CO.,50893,11047
ORANGE CO.,49763,2575
PALO PINTO CO.,39516,1932
PANOLA CO.,50119,2504
PARKER CO.,67288,2635
PARMER CO.,45326,5746
PECOS CO.,50305,4967
POLK CO.,39662,2034
POTTER CO.,38159,1738
PRESIDIO CO.,32132,6192
RAINS CO.,48448,3953
RANDALL CO.,60972,1404
REAGAN CO.,52181,8132
REAL CO.,36523,5924
RED RIVER CO.,31563,3132
REEVES CO.,43540,4236
REFUGIO CO.,44240,4317
ROBERTS CO.,63889,9057
ROBERTSON CO.,46501,3900
ROCKWALL CO.,87524,3352
RUNNELS CO.,41526,3777
RUSK CO.,46173,2017
SABINE CO.,31307,2825
SAN AUGUSTINE CO.,28275,3495
SAN JACINTO CO.,43029,4256
SAN PATRICIO CO.,52261,1900
SAN SABA CO.,39040,3186
SCHLEICHER CO.,55543,7548
SCURRY CO.,56842,5454
SHACKELFORD CO.,48750,6801
SHELBY CO.,37756,2698
SHERMAN CO.,51987,4386
SMITH CO.,46929,1127
SOMERVELL CO.,51912,7451
STARR CO.,26172,2076
STEPHENS CO.,43951,4339
STERLING CO.,53456,10963
STONEWALL CO.,42155,8544
SUTTON CO.,51667,6212
SWISHER CO.,37040,5722
TARRANT CO.,58711,488
TAYLOR CO.,45396,1528
TERRELL CO.,31111,8353
TERRY CO.,37475,3195
THROCKMORTON CO.,41042,6334
TITUS CO.,44178,2778
TOM GREEN CO.,46711,1484
TRAVIS CO.,61451,591
TRINITY CO.,34295,3835
TYLER CO.,41360,2867
UPSHUR CO.,46673,2967
UPTON CO.,46131,11710
UVALDE CO.,38568,3257
VAL VERDE CO.,42174,1917
VAN ZANDT CO.,44002,3095
VICTORIA CO.,51758,1291
WALKER CO.,37666,2492
WALLER CO.,51348,5021
WARD CO.,51345,2868
WASHINGTON CO.,51269,4039
WEBB CO.,38862,1215
WHARTON CO.,45176,3770
WHEELER CO.,52221,3197
WICHITA CO.,45543,1438
WILBARGER CO.,41630,5068
WILLACY CO.,26495,3380
WILLIAMSON CO.,73750,1026
WILSON CO.,68100,3328
WINKLER CO.,55756,7889
WISE CO.,56897,3006
WOOD CO.,45686,2702
YOAKUM CO.,56153,9991
YOUNG CO.,44693,5179
ZAPATA CO.,32162,4878
ZAVALA CO.,26672,5798
