name,estimate,moe
ANDERSON CO.,42511,2149
ANDREWS CO.,61250,4569
ANGELINA CO.,42374,1595
ARANSAS CO.,42247,4151
ARCHER CO.,58274,6233
ARMSTRONG CO.,61250,16414
ATASCOSA CO.,50756,2436
AUSTIN CO.,54603,2892
BAILEY CO.,41982,3375
BANDERA CO.,48587,3638
BASTROP CO.,53382,2670
BAYLOR CO.,33019,3636
BEE CO.,41738,2898
BELL CO.,51027,911
BEXAR CO.,50867,442
BLANCO CO.,51740,5991
BORDEN CO.,73333,11249
BOSQUE CO.,44339,2605
BOWIE CO.,42917,1842
BRAZORIA CO.,69092,1833
BRAZOS CO.,39060,948
BREWSTER CO.,38589,4939
BRISCOE CO.,36696,6817
BROOKS CO.,22176,3778
BROWN CO.,40982,1965
BURLESON CO.,49533,3388
BURNET CO.,50712,3865
CALDWELL CO.,47435,1927
CALHOUN CO.,47546,4141
CALLAHAN CO.,42102,4050
CAMERON CO.,33390,885
CAMP CO.,38154,3833
CARSON CO.,63424,6126
CASS CO.,36342,1677
CASTRO CO.,40470,4438
CHAMBERS CO.,72239,6225
CHEROKEE CO.,38949,2064
CHILDRESS CO.,48682,14203
CLAY CO.,50025,5240
COCHRAN CO.,41071,2567
COKE CO.,40822,5080
COLEMAN CO.,34692,2609
COLLIN CO.,84233,1059
COLLINGSWORTH CO.,42798,8389
COLORADO CO.,45262,4026
COMAL CO.,64987,3666
COMANCHE CO.,35692,2460
CONCHO CO.,52844,4771
COOKE CO.,51222,2674
CORYELL CO.,49783,1387
COTTLE CO.,34833,3594
CRANE CO.,52451,10345
CROCKETT CO.,51594,6701
CROSBY CO.,38668,2427
CULBERSON CO.,35302,6014
DALLAM CO.,41105,4648
DALLAS CO.,49925,397
DAWSON CO.,39746,3213
DEAF SMITH CO.,42995,2119
DELTA CO.,40988,8968
DENTON CO.,74662,1215
DEWITT CO.,48082,3040
DICKENS CO.,38397,3811
DIMMIT CO.,38140,3944
DONLEY CO.,40719,5599
DUVAL CO.,32479,4911
EASTLAND CO.,35221,3039
ECTOR CO.,54903,2011
EDWARDS CO.,41726,9639
ELLIS CO.,61898,2053
EL PASO CO.,40783,638
ERATH CO.,40711,1566
FALLS CO.,33587,1710
FANNIN CO.,44432,2265
FAYETTE CO.,48711,3679
FISHER CO.,42850,5129
FLOYD CO.,40993,4763
FOARD CO.,34375,8863
FORT BEND CO.,86407,1519
FRANKLIN CO.,44000,5948
FREESTONE CO.,44072,3888
FRIO CO.,35681,4763
GAINES CO.,54434,4118
GALVESTON CO.,61744,1504
GARZA CO.,49479,8508
GILLESPIE CO.,52414,3250
GLASSCOCK CO.,81563,33105
GOLIAD CO.,49702,3522
GONZALES CO.,41263,4566
GRAY CO.,45179,3068
GRAYSON CO.,47631,1850
GREGG CO.,46391,1833
GRIMES CO.,46652,3688
GUADALUPE CO.,62412,1791
HALE CO.,42303,2022
HALL CO.,33205,4824
HAMILTON CO.,42211,3906
HANSFORD CO.,46181,5946
HARDEMAN CO.,37656,9959
HARDIN CO.,52438,2967
HARRIS CO.,53822,338
HARRISON CO.,46969,2306
HARTLEY CO.,65132,4497
HASKELL CO.,42645,7172
HAYS CO.,58878,1812
HEMPHILL CO.,58281,10069
HENDERSON CO.,40299,1322
HIDALGO CO.,34952,783
HILL CO.,40994,1584
HOCKLEY CO.,50485,3097
HOOD CO.,54397,3352
HOPKINS CO.,45158,2694
HOUSTON CO.,32855,1815
HOWARD CO.,47994,2722
HUDSPETH CO.,23350,3006
HUNT CO.,44898,1734
HUTCHINSON CO.,47191,2233
IRION CO.,54886,10788
JACK CO.,45130,10099
JACKSON CO.,50856,3352
JASPER CO.,39176,3584
JEFF DAVIS CO.,51357,5026
JEFFERSON CO.,42368,1072
JIM HOGG CO.,38013,6185
JIM WELLS CO.,42463,1824
JOHNSON CO.,58221,1201
JONES CO.,42287,3614
KARNES CO.,44650,3908
KAUFMAN CO.,61459,2471
KENDALL CO.,74320,5148
KENEDY CO.,36563,15040
KENT CO.,46842,6338
KERR CO.,42930,2547
KIMBLE CO.,40000,5496
KING CO.,54583,17771
KINNEY CO.,32473,8639
KLEBERG CO.,37725,3202
KNOX CO.,37018,5785
LAMAR CO.,41130,1601
LAMB CO.,37161,2806
LAMPASAS CO.,48862,2706
LA SALLE CO.,35554,3976
LAVACA CO.,45780,2683
LEE CO.,52452,4425
LEON CO.,48763,4622
LIBERTY CO.,47722,2765
LIMESTONE CO.,39484,2341
LIPSCOMB CO.,61151,4629
LIVE OAK CO.,44579,6279
LLANO CO.,45205,4040
LOVING CO.,65625,69245
LUBBOCK CO.,45529,757
LYNN CO.,41541,3808
MCCULLOCH CO.,40908,4134
MCLENNAN CO.,42544,1296
MCMULLEN CO.,45208,23482
MADISON CO.,40879,4178
MARION CO.,34363,3929
MARTIN CO.,52232,10907
MASON CO.,45536,9568
MATAGORDA CO.,40410,4324
MAVERICK CO.,32536,2086
MEDINA CO.,56338,2395
MENARD CO.,34091,6979
MIDLAND CO.,66966,2066
MILAM CO.,37183,2161
MILLS CO.,44241,4672
MITCHELL CO.,45769,7952
MONTAGUE CO.,45897,2087
MONTGOMERY CO.,68840,1349
MOORE CO.,48149,4504
MORRIS CO.,39387,2891
MOTLEY CO.,34853,4915
NACOGDOCHES CO.,39126,1760
NAVARRO CO.,40976,1405
NEWTON CO.,36890,3737
NOLAN CO.,37342,1779
NUECES CO.,49368,1529
OCHILTREE CO.,51115,2170
OLDHAM CO.,51250,11073
ORANGE CO.,48766,2589
PALO PINTO CO.,41370,2798
PANOLA CO.,51794,2229
PARKER CO.,64979,2432
PARMER CO.,46308,4275
PECOS CO.,49421,4051
POLK CO.,39412,2094
POTTER CO.,37758,1433
PRESIDIO CO.,30983,4830
RAINS CO.,46531,5308
RANDALL CO.,60895,1675
REAGAN CO.,52692,9001
REAL CO.,37019,5903
RED RIVER CO.,31344,2149
REEVES CO.,44950,5659
REFUGIO CO.,44688,4656
ROBERTS CO.,73182,9389
ROBERTSON CO.,43371,4644
ROCKWALL CO.,86597,4112
RUNNELS CO.,38684,3359
RUSK CO.,46924,2153
SABINE CO.,33951,2965
SAN AUGUSTINE CO.,29293,3836
SAN JACINTO CO.,46969,5102
SAN PATRICIO CO.,51760,1710
SAN SABA CO.,38065,2860
SCHLEICHER CO.,44643,12703
SCURRY CO.,50829,3510
SHACKELFORD CO.,50857,8163
SHELBY CO.,36250,1956
SHERMAN CO.,49219,6546
SMITH CO.,46669,1367
SOMERVELL CO.,51190,6512
STARR CO.,25906,1702
STEPHENS CO.,43082,3034
STERLING CO.,50509,15906
