name,estimate,moe
ALAMEDA CO.,72112,791
ALPINE CO.,58636,4440
AMADOR CO.,53684,3619
BUTTE CO.,43752,1016
CALAVERAS CO.,55295,2657
COLUSA CO.,52158,3015
CONTRA COSTA CO.,78756,1124
DEL NORTE CO.,37909,4058
EL DORADO CO.,69297,2006
FRESNO CO.,45563,638
GLENN CO.,43023,4770
HUMBOLDT CO.,41426,1300
IMPERIAL CO.,41807,1164
INYO CO.,44796,2174
KERN CO.,48552,697
KINGS CO.,48133,1384
LAKE CO.,36548,2344
LASSEN CO.,53107,2579
LOS ANGELES CO.,55909,256
MADERA CO.,45625,2264
MARIN CO.,90839,2396
MARIPOSA CO.,49820,5755
MENDOCINO CO.,43469,1647
MERCED CO.,42591,1310
MODOC CO.,36212,4104
MONO CO.,61757,6003
MONTEREY CO.,59168,1037
NAPA CO.,70443,1994
NEVADA CO.,57353,2119
ORANGE CO.,75422,509
PLACER CO.,72725,1421
PLUMAS CO.,45794,3583
RIVERSIDE CO.,56529,574
SACRAMENTO CO.,55064,512
SAN BENITO CO.,66237,3175
SAN BERNARDINO CO.,54090,511
SAN DIEGO CO.,62962,410
SAN FRANCISCO CO.,75604,976
SAN JOAQUIN CO.,53380,761
SAN LUIS OBISPO CO.,58697,1282
SAN MATEO CO.,88202,1719
SANTA BARBARA CO.,62779,1294
SANTA CLARA CO.,91702,705
SANTA CRUZ CO.,66519,1915
SHASTA CO.,44651,1324
SIERRA CO.,39009,7591
SISKIYOU CO.,37709,1621
SOLANO CO.,67177,1361
SONOMA CO.,63356,1036
STANISLAUS CO.,49297,890
SUTTER CO.,50408,1606
TEHAMA CO.,41924,2013
TRINITY CO.,36890,4322
TULARE CO.,42708,896
TUOLUMNE CO.,48426,1886
VENTURA CO.,76544,758
YOLO CO.,55918,2010
YUBA CO.,44902,2025
