name,estimate,moe
ALAMEDA CO.,68863,672
ALPINE CO.,54605,17009
AMADOR CO.,57347,3857
BUTTE CO.,42002,1295
CALAVERAS CO.,57676,3490
COLUSA CO.,47150,4129
CONTRA COSTA CO.,77838,718
DEL NORTE CO.,38408,4044
EL DORADO CO.,70765,1640
FRESNO CO.,46230,597
GLENN CO.,40973,1743
HUMBOLDT CO.,39124,1423
IMPERIAL CO.,37595,1447
INYO CO.,44952,4864
KERN CO.,46216,773
KINGS CO.,46595,1639
LAKE CO.,41182,2052
LASSEN CO.,48653,3412
LOS ANGELES CO.,54828,244
MADERA CO.,46083,1744
MARIN CO.,87728,1569
MARIPOSA CO.,47808,6551
MENDOCINO CO.,43404,1169
MERCED CO.,43848,1324
MODOC CO.,34007,2086
MONO CO.,51970,4174
MONTEREY CO.,59693,1049
NAPA CO.,68416,3096
NEVADA CO.,58186,1850
ORANGE CO.,73738,438
PLACER CO.,73550,1336
PLUMAS CO.,44727,2789
RIVERSIDE CO.,58155,455
SACRAMENTO CO.,56799,501
SAN BENITO CO.,68567,5086
SAN BERNARDINO CO.,55461,538
SAN DIEGO CO.,62901,455
SAN FRANCISCO CO.,70040,1023
SAN JOAQUIN CO.,54540,734
SAN LUIS OBISPO CO.,55555,1442
SAN MATEO CO.,84426,1031
SANTA BARBARA CO.,59350,1060
SANTA CLARA CO.,85569,864
SANTA CRUZ CO.,64349,1232
SHASTA CO.,44755,1198
SIERRA CO.,53750,8418
SISKIYOU CO.,37938,1598
SOLANO CO.,67920,1215
SONOMA CO.,63848,1070
STANISLAUS CO.,51529,978
SUTTER CO.,52155,1631
TEHAMA CO.,36949,1028
TRINITY CO.,35551,3186
TULARE CO.,43164,884
TUOLUMNE CO.,48354,3255
VENTURA CO.,74828,968
YOLO CO.,56232,1414
YUBA CO.,46410,1866
