name,estimate,moe
ANDERSON CO.,39355,2000
ANDREWS CO.,47227,2895
ANGELINA CO.,38862,1431
ARANSAS CO.,41172,3624
ARCHER CO.,51792,4413
ARMSTRONG CO.,58516,9343
ATASCOSA CO.,41178,2884
AUSTIN CO.,51086,3287
BAILEY CO.,35585,6224
BANDERA CO.,44244,4554
BASTROP CO.,50585,2640
BAYLOR CO.,32569,7535
BEE CO.,35759,4424
BELL CO.,46473,1178
BEXAR CO.,45688,392
BLANCO CO.,50225,8941
BORDEN CO.,55200,18016
BOSQUE CO.,44244,2250
BOWIE CO.,40569,1556
BRAZORIA CO.,62570,1358
BRAZOS CO.,34688,1143
BREWSTER CO.,34640,2389
BRISCOE CO.,31141,7028
BROOKS CO.,19425,2327
BROWN CO.,38531,2633
BURLESON CO.,39522,3882
BURNET CO.,46463,2082
CALDWELL CO.,41387,2926
CALHOUN CO.,43305,4131
CALLAHAN CO.,44470,3305
CAMERON CO.,30034,702
CAMP CO.,33891,2893
CARSON CO.,53425,4288
CASS CO.,36693,1468
CASTRO CO.,34849,5047
CHAMBERS CO.,60451,3553
CHEROKEE CO.,36571,1969
CHILDRESS CO.,34953,5482
CLAY CO.,51145,2607
COCHRAN CO.,34744,4919
COKE CO.,33375,5460
COLEMAN CO.,27538,3298
COLLIN CO.,80545,782
COLLINGSWORTH CO.,39524,7708
COLORADO CO.,39031,2919
COMAL CO.,63544,2177
COMANCHE CO.,34068,3214
CONCHO CO.,45625,8683
COOKE CO.,50030,2147
CORYELL CO.,45678,2202
COTTLE CO.,32009,4450
CRANE CO.,43185,6813
CROCKETT CO.,47143,8282
CROSBY CO.,34485,2616
CULBERSON CO.,38365,7712
DALLAM CO.,40714,5311
DALLAS CO.,47059,333
DAWSON CO.,33586,3325
DEAF SMITH CO.,38849,2625
DELTA CO.,41103,5165
DENTON CO.,70002,950
DEWITT CO.,37621,4130
DICKENS CO.,28750,4099
DIMMIT CO.,24268,5131
DONLEY CO.,36250,6132
DUVAL CO.,26117,5728
EASTLAND CO.,33149,2505
ECTOR CO.,44322,1318
EDWARDS CO.,34426,5434
ELLIS CO.,58809,1719
EL PASO CO.,35249,609
ERATH CO.,37729,1840
FALLS CO.,30502,2411
FANNIN CO.,42423,2703
FAYETTE CO.,44031,3130
FISHER CO.,37601,5202
FLOYD CO.,31588,4289
FOARD CO.,24861,4026
FORT BEND CO.,80638,1317
FRANKLIN CO.,42189,6630
FREESTONE CO.,44303,5248
FRIO CO.,34531,4799
GAINES CO.,47808,3800
GALVESTON CO.,54398,1370
GARZA CO.,31200,11974
GILLESPIE CO.,52403,3203
GLASSCOCK CO.,54000,6018
GOLIAD CO.,50486,5548
GONZALES CO.,37103,2698
GRAY CO.,36788,3017
GRAYSON CO.,45171,1502
GREGG CO.,42499,1344
GRIMES CO.,39403,4295
GUADALUPE CO.,59375,1885
HALE CO.,34820,1437
HALL CO.,29032,3027
HAMILTON CO.,37796,2867
HANSFORD CO.,46799,5441
HARDEMAN CO.,36385,6520
HARDIN CO.,52515,2526
HARRIS CO.,50569,296
HARRISON CO.,41966,2285
HARTLEY CO.,57083,10225
HASKELL CO.,32139,3764
HAYS CO.,52409,1806
HEMPHILL CO.,60435,12475
HENDERSON CO.,38632,1244
HIDALGO CO.,30076,692
HILL CO.,38159,2004
HOCKLEY CO.,45384,2679
HOOD CO.,52870,2392
HOPKINS CO.,39966,2415
HOUSTON CO.,31911,2840
HOWARD CO.,36931,3674
HUDSPETH CO.,28292,2834
HUNT CO.,42894,1757
HUTCHINSON CO.,41703,2807
IRION CO.,43536,6379
JACK CO.,43409,4189
JACKSON CO.,48509,3827
JASPER CO.,37020,2449
JEFF DAVIS CO.,39550,7630
JEFFERSON CO.,41420,931
JIM HOGG CO.,33635,5960
JIM WELLS CO.,32816,2942
JOHNSON CO.,53444,1553
JONES CO.,40947,2619
KARNES CO.,35101,6656
KAUFMAN CO.,55857,2575
KENDALL CO.,68389,6013
