name,estimate,moe
ANDERSON CO.,42146,2539
ANDREWS CO.,70121,7053
ANGELINA CO.,44185,2107
ARANSAS CO.,44851,4261
ARCHER CO.,62407,5368
ARMSTRONG CO.,65000,9415
ATASCOSA CO.,53181,4114
AUSTIN CO.,56681,4903
BAILEY CO.,40589,8438
BANDERA CO.,55434,4503
BASTROP CO.,55808,2177
BAYLOR CO.,34382,5181
BEE CO.,44005,3595
BELL CO.,51529,773
BEXAR CO.,52353,363
BLANCO CO.,56573,4770
BORDEN CO.,77569,4724
BOSQUE CO.,45419,2671
BOWIE CO.,42683,1620
BRAZORIA CO.,72006,1498
BRAZOS CO.,41654,1148
BREWSTER CO.,38440,4465
BRISCOE CO.,40385,6216
BROOKS CO.,24913,4198
BROWN CO.,43235,2221
BURLESON CO.,52513,3724
BURNET CO.,54259,5590
CALDWELL CO.,49533,1714
CALHOUN CO.,54167,6295
CALLAHAN CO.,40568,3135
CAMERON CO.,34578,1003
CAMP CO.,40045,3702
CARSON CO.,64554,5619
CASS CO.,39366,2656
CASTRO CO.,42733,4865
CHAMBERS CO.,70396,9943
CHEROKEE CO.,40769,1475
CHILDRESS CO.,37125,5711
CLAY CO.,45341,5565
COCHRAN CO.,38625,4179
COKE CO.,41756,3892
COLEMAN CO.,42049,3207
COLLIN CO.,86188,960
COLLINGSWORTH CO.,40257,6489
COLORADO CO.,45398,4465
COMAL CO.,69666,2520
COMANCHE CO.,39054,3247
CONCHO CO.,48516,5167
COOKE CO.,56269,3421
CORYELL CO.,49275,1426
COTTLE CO.,33750,4521
CRANE CO.,60133,5203
CROCKETT CO.,50646,6669
CROSBY CO.,39026,2709
CULBERSON CO.,33981,6005
DALLAM CO.,43897,6253
DALLAS CO.,51411,341
DAWSON CO.,42354,3581
DEAF SMITH CO.,47219,3679
DELTA CO.,40529,7054
DENTON CO.,76678,883
DEWITT CO.,50582,3585
DICKENS CO.,42118,4133
DIMMIT CO.,32204,8275
DONLEY CO.,40560,4567
DUVAL CO.,33115,4009
EASTLAND CO.,34434,2888
ECTOR CO.,58335,3083
EDWARDS CO.,39457,12504
ELLIS CO.,64382,1649
EL PASO CO.,42075,680
ERATH CO.,42492,2087
FALLS CO.,38547,3195
FANNIN CO.,45471,2917
FAYETTE CO.,51290,3879
FISHER CO.,41531,2388
FLOYD CO.,43070,4238
FOARD CO.,48068,14564
FORT BEND CO.,91152,1440
FRANKLIN CO.,42652,4043
FREESTONE CO.,45134,4001
FRIO CO.,37163,3932
GAINES CO.,58788,5183
GALVESTON CO.,63064,1326
GARZA CO.,52708,8214
GILLESPIE CO.,55850,4205
GLASSCOCK CO.,62159,26052
GOLIAD CO.,54375,6827
GONZALES CO.,46630,3138
GRAY CO.,45264,3497
GRAYSON CO.,50212,1503
GREGG CO.,47140,1487
GRIMES CO.,47839,3663
GUADALUPE CO.,64599,1762
HALE CO.,44995,2380
HALL CO.,27244,5402
HAMILTON CO.,45105,6235
HANSFORD CO.,41335,6235
HARDEMAN CO.,35156,4116
HARDIN CO.,54352,2715
HARRIS CO.,55584,392
HARRISON CO.,46230,2767
HARTLEY CO.,64614,2578
HASKELL CO.,41067,7870
HAYS CO.,60495,1439
HEMPHILL CO.,67773,7075
HENDERSON CO.,43434,1511
HIDALGO CO.,36094,765
HILL CO.,43441,2181
HOCKLEY CO.,50331,2918
HOOD CO.,58315,2752
