name,estimate,moe
ANDERSON CO.,40378,1652
ANDREWS CO.,48699,4671
ANGELINA CO.,39148,1270
ARANSAS CO.,42179,2830
ARCHER CO.,50891,3730
ARMSTRONG CO.,60530,8207
ATASCOSA CO.,42927,3265
AUSTIN CO.,53263,3422
BAILEY CO.,42375,6274
BANDERA CO.,44352,3832
BASTROP CO.,51829,2169
BAYLOR CO.,33459,7497
BEE CO.,40278,3741
BELL CO.,48618,1023
BEXAR CO.,47048,397
BLANCO CO.,46128,4920
BORDEN CO.,58409,10030
BOSQUE CO.,45288,1582
BOWIE CO.,42550,1720
BRAZORIA CO.,65607,1169
BRAZOS CO.,37898,1356
BREWSTER CO.,35799,3035
BRISCOE CO.,34196,4903
BROOKS CO.,19959,2536
BROWN CO.,38832,2125
BURLESON CO.,43185,3821
BURNET CO.,48187,2462
CALDWELL CO.,41594,2590
CALHOUN CO.,43258,2021
CALLAHAN CO.,44596,3925
CAMERON CO.,31264,577
CAMP CO.,36029,5938
CARSON CO.,56106,3810
CASS CO.,36360,1608
CASTRO CO.,35087,3585
CHAMBERS CO.,66764,4288
CHEROKEE CO.,36966,2200
CHILDRESS CO.,42004,8675
CLAY CO.,50881,2088
COCHRAN CO.,37446,6578
COKE CO.,38702,7536
COLEMAN CO.,26951,3532
COLLIN CO.,80504,754
COLLINGSWORTH CO.,39712,7343
COLORADO CO.,41145,3098
COMAL CO.,64752,2142
COMANCHE CO.,35218,3233
CONCHO CO.,49063,6064
COOKE CO.,48899,2436
CORYELL CO.,47374,1725
COTTLE CO.,33859,4781
CRANE CO.,50425,7891
CROCKETT CO.,50653,6352
CROSBY CO.,36301,2777
CULBERSON CO.,35500,6256
DALLAM CO.,47073,7909
DALLAS CO.,47974,388
DAWSON CO.,33623,3940
DEAF SMITH CO.,41127,3579
DELTA CO.,37908,5504
DENTON CO.,70622,856
DEWITT CO.,40668,3443
DICKENS CO.,33813,5302
DIMMIT CO.,25882,6518
DONLEY CO.,46130,5630
DUVAL CO.,30493,5494
EASTLAND CO.,32452,3151
ECTOR CO.,45815,1534
EDWARDS CO.,40163,11284
ELLIS CO.,60877,1464
EL PASO CO.,36333,487
ERATH CO.,39200,2293
FALLS CO.,31083,2251
FANNIN CO.,44551,3077
FAYETTE CO.,45450,3584
FISHER CO.,41458,8224
FLOYD CO.,35240,6827
FOARD CO.,30417,7804
FORT BEND CO.,79845,1323
FRANKLIN CO.,45625,6070
FREESTONE CO.,44560,4716
FRIO CO.,35940,5003
GAINES CO.,46393,5220
GALVESTON CO.,58317,1600
GARZA CO.,35750,17711
GILLESPIE CO.,52682,2957
GLASSCOCK CO.,61184,8135
GOLIAD CO.,51786,5128
GONZALES CO.,37094,2682
GRAY CO.,40442,2918
GRAYSON CO.,46875,1367
GREGG CO.,43367,1158
GRIMES CO.,39429,3971
GUADALUPE CO.,61274,1843
HALE CO.,36509,1966
HALL CO.,29219,4351
HAMILTON CO.,40808,3302
HANSFORD CO.,52239,3856
HARDEMAN CO.,36295,2702
HARDIN CO.,52755,3212
HARRIS CO.,51444,301
HARRISON CO.,44425,1794
HARTLEY CO.,66583,10150
HASKELL CO.,35295,3846
HAYS CO.,56353,1848
HEMPHILL CO.,62159,16437
HENDERSON CO.,39779,1466
HIDALGO CO.,31879,555
HILL CO.,39293,1998
HOCKLEY CO.,46430,2184
HOOD CO.,54882,2090
HOPKINS CO.,41642,2560
HOUSTON CO.,31929,2941
HOWARD CO.,39574,3276
HUDSPETH CO.,22647,7160
HUNT CO.,43101,1747
HUTCHINSON CO.,42213,2396
IRION CO.,48833,15020
JACK CO.,46801,5414
JACKSON CO.,47483,4643
JASPER CO.,38062,2138
JEFF DAVIS CO.,43750,9621
JEFFERSON CO.,42293,929
JIM HOGG CO.,40000,11066
JIM WELLS CO.,37020,2425
JOHNSON CO.,54954,1347
JONES CO.,39568,2773
KARNES CO.,39611,6059
KAUFMAN CO.,58555,1965
KENDALL CO.,66655,4768
KENEDY CO.,48333,42957
KENT CO.,47750,9868
KERR CO.,43072,2080
KIMBLE CO.,43429,5063
KING CO.,61563,33528
KINNEY CO.,24388,3771
KLEBERG CO.,36571,5436
KNOX CO.,32055,2834
LAMAR CO.,38015,2102
LAMB CO.,35458,3223
LAMPASAS CO.,46378,2799
LA SALLE CO.,30144,7373
LAVACA CO.,41429,3067
LEE CO.,46986,4919
LEON CO.,40355,3557
LIBERTY CO.,45929,2448
LIMESTONE CO.,42140,4081
LIPSCOMB CO.,52566,4977
LIVE OAK CO.,43719,2729
LLANO CO.,41969,4264
LOVING CO.,83889,42554
LUBBOCK CO.,42562,734
LYNN CO.,43672,5363
MCCULLOCH CO.,34459,7420
MCLENNAN CO.,40672,909
MCMULLEN CO.,41453,5699
MADISON CO.,37207,5693
MARION CO.,29943,4096
MARTIN CO.,38111,6633
MASON CO.,38702,7805
MATAGORDA CO.,43205,2981
MAVERICK CO.,28813,2192
MEDINA CO.,49138,3043
MENARD CO.,40996,6883
MIDLAND CO.,54945,2027
MILAM CO.,39035,2925
MILLS CO.,31895,4531
MITCHELL CO.,37260,5122
MONTAGUE CO.,42482,2601
MONTGOMERY CO.,65620,1037
MOORE CO.,44216,2943
MORRIS CO.,38843,3221
MOTLEY CO.,34081,3107
NACOGDOCHES CO.,33189,1823
NAVARRO CO.,41654,2193
NEWTON CO.,37452,4341
NOLAN CO.,37102,2843
NUECES CO.,43280,1175
OCHILTREE CO.,49309,4855
OLDHAM CO.,51111,7207
ORANGE CO.,47914,2054
PALO PINTO CO.,41095,1653
PANOLA CO.,45622,3660
PARKER CO.,61340,1951
PARMER CO.,39753,3151
PECOS CO.,38125,3006
POLK CO.,33325,1385
POTTER CO.,36766,1370
PRESIDIO CO.,29513,4926
RAINS CO.,42491,4476
RANDALL CO.,56041,1512
REAGAN CO.,54224,3851
REAL CO.,29186,4242
RED RIVER CO.,37047,3336
REEVES CO.,32593,3523
REFUGIO CO.,42949,3383
ROBERTS CO.,52500,17047
ROBERTSON CO.,38393,2759
ROCKWALL CO.,78032,3555
RUNNELS CO.,37823,4467
RUSK CO.,46574,2166
SABINE CO.,33589,2065
SAN AUGUSTINE CO.,25974,2193
SAN JACINTO CO.,46285,3128
SAN PATRICIO CO.,45189,2149
SAN SABA CO.,36308,2890
SCHLEICHER CO.,55186,3213
SCURRY CO.,42401,3911
SHACKELFORD CO.,46629,4965
SHELBY CO.,32425,2398
SHERMAN CO.,50069,6720
SMITH CO.,46139,1362
SOMERVELL CO.,52135,8249
STARR CO.,24441,1885
STEPHENS CO.,35691,4094
STERLING CO.,41548,6355
STONEWALL CO.,52222,8195
SUTTON CO.,56146,8734
SWISHER CO.,37907,4826
TARRANT CO.,55306,458
TAYLOR CO.,42403,1328
TERRELL CO.,35403,9621
TERRY CO.,39498,3367
THROCKMORTON CO.,36339,6196
TITUS CO.,39423,1807
TOM GREEN CO.,41398,1259
TRAVIS CO.,54074,588
TRINITY CO.,36814,2989
TYLER CO.,35346,3096
UPSHUR CO.,44403,1718
UPTON CO.,49234,6086
UVALDE CO.,35087,2634
VAL VERDE CO.,36993,2271
VAN ZANDT CO.,43074,1849
VICTORIA CO.,48767,1671
WALKER CO.,34259,2250
WALLER CO.,47324,2979
WARD CO.,41117,2482
WASHINGTON CO.,43159,3298
WEBB CO.,36684,904
WHARTON CO.,41148,2808
WHEELER CO.,42909,5214
WICHITA CO.,42971,1174
WILBARGER CO.,40105,4537
WILLACY CO.,22881,2634
WILLIAMSON CO.,68780,1161
WILSON CO.,60493,1900
WINKLER CO.,41828,1987
WISE CO.,55207,2524
WOOD CO.,41277,2118
YOAKUM CO.,49146,4985
YOUNG CO.,36900,3507
ZAPATA CO.,24496,3991
ZAVALA CO.,21707,2675
