name,estimate,moe
ANDERSON CO.,40577,2396
ANDREWS CO.,51598,4919
ANGELINA CO.,39325,1774
ARANSAS CO.,44129,3098
ARCHER CO.,53113,4719
ARMSTRONG CO.,56538,10251
ATASCOSA CO.,43261,4861
AUSTIN CO.,52510,3105
BAILEY CO.,41106,3446
BANDERA CO.,45595,3107
BASTROP CO.,52882,2099
BAYLOR CO.,37159,6955
BEE CO.,39247,3207
BELL CO.,49466,1196
BEXAR CO.,48083,517
BLANCO CO.,46457,4079
BORDEN CO.,59643,8686
BOSQUE CO.,44744,2174
BOWIE CO.,43210,1717
BRAZORIA CO.,67018,1625
BRAZOS CO.,37161,1508
BREWSTER CO.,39615,2973
BRISCOE CO.,34130,4606
BROOKS CO.,19936,2968
BROWN CO.,39965,1840
BURLESON CO.,42679,3938
BURNET CO.,48291,1980
CALDWELL CO.,43136,2106
CALHOUN CO.,44433,3002
CALLAHAN CO.,45933,2632
CAMERON CO.,32156,778
CAMP CO.,36998,4714
CARSON CO.,60028,6252
CASS CO.,35592,2145
CASTRO CO.,36893,4562
CHAMBERS CO.,72850,5705
CHEROKEE CO.,37758,2148
CHILDRESS CO.,47605,8221
CLAY CO.,52868,2486
COCHRAN CO.,40513,3518
COKE CO.,40000,8039
COLEMAN CO.,27910,4599
COLLIN CO.,82758,830
COLLINGSWORTH CO.,38750,9321
COLORADO CO.,43252,2730
COMAL CO.,65521,2314
COMANCHE CO.,36326,3927
CONCHO CO.,46528,12109
COOKE CO.,50176,2703
CORYELL CO.,48920,1808
COTTLE CO.,39038,3466
CRANE CO.,48648,4401
CROCKETT CO.,51522,7478
CROSBY CO.,35655,3183
CULBERSON CO.,37500,9561
DALLAM CO.,47500,8437
DALLAS CO.,48942,323
DAWSON CO.,39454,6409
DEAF SMITH CO.,41134,2979
DELTA CO.,34710,7771
DENTON CO.,72305,1021
DEWITT CO.,43380,2906
DICKENS CO.,35333,4549
DIMMIT CO.,26730,5565
DONLEY CO.,44300,9074
DUVAL CO.,35144,4802
EASTLAND CO.,34531,2239
ECTOR CO.,50056,1748
EDWARDS CO.,43095,5471
ELLIS CO.,62639,1705
EL PASO CO.,38259,661
ERATH CO.,40096,2052
FALLS CO.,31543,1854
FANNIN CO.,44136,2323
FAYETTE CO.,47285,3408
FISHER CO.,43724,4099
FLOYD CO.,35967,4366
FOARD CO.,31006,4929
FORT BEND CO.,82571,1265
FRANKLIN CO.,47500,10294
FREESTONE CO.,45816,5540
FRIO CO.,37769,5611
GAINES CO.,47157,4313
GALVESTON CO.,59645,1421
GARZA CO.,42883,15143
GILLESPIE CO.,54843,2829
GLASSCOCK CO.,72188,12449
GOLIAD CO.,51389,5674
GONZALES CO.,38623,3743
GRAY CO.,42845,3086
GRAYSON CO.,46993,1360
GREGG CO.,44608,1223
GRIMES CO.,40509,2700
GUADALUPE CO.,61608,2270
HALE CO.,39335,3039
HALL CO.,32059,2231
HAMILTON CO.,40757,2721
HANSFORD CO.,52610,4120
HARDEMAN CO.,36568,5805
HARDIN CO.,54588,3399
HARRIS CO.,52675,404
HARRISON CO.,45357,1633
HARTLEY CO.,69414,8709
HASKELL CO.,39578,4179
HAYS CO.,58247,2206
HEMPHILL CO.,54360,11374
HENDERSON CO.,41242,971
HIDALGO CO.,32479,631
HILL CO.,39944,2186
HOCKLEY CO.,48201,3850
HOOD CO.,54002,2471
HOPKINS CO.,42844,2192
HOUSTON CO.,32437,2404
HOWARD CO.,41887,2864
HUDSPETH CO.,22634,5358
HUNT CO.,45253,1796
HUTCHINSON CO.,44120,2237
IRION CO.,45250,10506
JACK CO.,46136,7651
JACKSON CO.,50010,4059
JASPER CO.,40099,1822
JEFF DAVIS CO.,49149,2688
JEFFERSON CO.,42883,1013
JIM HOGG CO.,36752,4272
JIM WELLS CO.,37413,2741
JOHNSON CO.,55970,1420
JONES CO.,37872,3316
KARNES CO.,39297,4852
KAUFMAN CO.,60575,2242
KENDALL CO.,72092,6271
KENEDY CO.,45625,23769
KENT CO.,43750,11998
KERR CO.,44529,2203
KIMBLE CO.,43653,3802
KING CO.,61250,44374
KINNEY CO.,25703,5210
KLEBERG CO.,37222,5346
KNOX CO.,32646,3263
LAMAR CO.,40050,2730
LAMB CO.,35589,2104
LAMPASAS CO.,48760,2304
LA SALLE CO.,25313,4387
LAVACA CO.,43570,2885
LEE CO.,45754,3886
LEON CO.,42150,4564
LIBERTY CO.,47460,2203
LIMESTONE CO.,42851,3271
LIPSCOMB CO.,55457,4376
LIVE OAK CO.,45276,3153
LLANO CO.,41837,3149
LOVING CO.,78125,20119
LUBBOCK CO.,43983,864
LYNN CO.,46456,3435
MCCULLOCH CO.,37861,4107
MCLENNAN CO.,41656,939
MCMULLEN CO.,29500,16392
MADISON CO.,37437,5595
MARION CO.,31903,3127
MARTIN CO.,42050,6071
MASON CO.,41462,8929
MATAGORDA CO.,43962,4443
MAVERICK CO.,29504,2206
MEDINA CO.,50101,3207
MENARD CO.,41923,4579
MIDLAND CO.,57807,2268
MILAM CO.,39751,2890
MILLS CO.,38138,7350
MITCHELL CO.,41281,7815
MONTAGUE CO.,43509,2577
MONTGOMERY CO.,66657,1434
MOORE CO.,48394,4707
MORRIS CO.,39698,3748
MOTLEY CO.,33281,5579
NACOGDOCHES CO.,35378,1776
NAVARRO CO.,41074,1909
NEWTON CO.,38409,3698
NOLAN CO.,37177,2235
NUECES CO.,44815,1201
OCHILTREE CO.,49794,4257
OLDHAM CO.,57054,11484
ORANGE CO.,48833,2922
PALO PINTO CO.,40385,2737
PANOLA CO.,48088,3361
PARKER CO.,63725,2087
PARMER CO.,40926,2275
PECOS CO.,40925,3881
POLK CO.,36073,1771
POTTER CO.,37766,1473
PRESIDIO CO.,28724,4564
RAINS CO.,45168,4900
RANDALL CO.,57121,1406
REAGAN CO.,58491,8083
REAL CO.,25870,3234
RED RIVER CO.,36969,3042
REEVES CO.,35552,4734
REFUGIO CO.,42470,2248
ROBERTS CO.,61042,15824
ROBERTSON CO.,38397,3240
ROCKWALL CO.,82146,3209
RUNNELS CO.,38556,3869
RUSK CO.,46438,1675
SABINE CO.,33109,3287
SAN AUGUSTINE CO.,26841,4275
SAN JACINTO CO.,48750,3063
SAN PATRICIO CO.,48389,2910
SAN SABA CO.,38675,2733
SCHLEICHER CO.,46058,8586
SCURRY CO.,46380,3931
SHACKELFORD CO.,44647,5552
SHELBY CO.,34164,2184
SHERMAN CO.,49135,6896
SMITH CO.,46615,1519
SOMERVELL CO.,48401,4763
STARR CO.,25598,1881
STEPHENS CO.,37400,4135
STERLING CO.,41944,8244
STONEWALL CO.,47083,9293
SUTTON CO.,55122,7699
SWISHER CO.,38988,3642
TARRANT CO.,56178,437
TAYLOR CO.,43065,1789
TERRELL CO.,41417,5583
TERRY CO.,35485,5591
THROCKMORTON CO.,40380,4074
TITUS CO.,39886,2095
TOM GREEN CO.,43465,1720
TRAVIS CO.,55452,632
TRINITY CO.,38138,3070
TYLER CO.,35847,3179
UPSHUR CO.,46734,2270
UPTON CO.,52455,5743
UVALDE CO.,34456,3010
VAL VERDE CO.,38747,2336
VAN ZANDT CO.,42359,1750
VICTORIA CO.,49676,1880
WALKER CO.,36885,2922
WALLER CO.,50609,2943
WARD CO.,41939,3820
WASHINGTON CO.,45320,4510
WEBB CO.,37868,1050
WHARTON CO.,43689,2618
WHEELER CO.,48000,9450
WICHITA CO.,44786,1043
WILBARGER CO.,40050,3910
WILLACY CO.,22894,2931
WILLIAMSON CO.,71346,1208
WILSON CO.,62689,2049
WINKLER CO.,44573,4557
WISE CO.,57511,2841
WOOD CO.,41260,2226
YOAKUM CO.,48173,8078
YOUNG CO.,39898,4979
ZAPATA CO.,26009,2532
ZAVALA CO.,23952,3408
