name,estimate,moe
ANDERSON CO.,40653,2153
ANDREWS CO.,57825,4939
ANGELINA CO.,41354,1681
ARANSAS CO.,42476,4232
ARCHER CO.,56452,5417
ARMSTRONG CO.,61635,13867
ATASCOSA CO.,47543,2884
AUSTIN CO.,53265,2742
BAILEY CO.,46139,3043
BANDERA CO.,49215,3714
BASTROP CO.,51750,2258
BAYLOR CO.,33445,3526
BEE CO.,43690,3307
BELL CO.,50060,1082
BEXAR CO.,50112,427
BLANCO CO.,49487,5573
BORDEN CO.,71607,11008
BOSQUE CO.,44742,3263
BOWIE CO.,42346,1554
BRAZORIA CO.,67603,1979
BRAZOS CO.,38310,1573
BREWSTER CO.,40477,4504
BRISCOE CO.,36250,6959
BROOKS CO.,21865,3231
BROWN CO.,39776,2051
BURLESON CO.,45651,4103
BURNET CO.,48115,2698
CALDWELL CO.,44152,2466
CALHOUN CO.,47027,3065
CALLAHAN CO.,44902,3607
CAMERON CO.,33179,879
CAMP CO.,37079,3159
CARSON CO.,65026,4883
CASS CO.,35598,1848
CASTRO CO.,36402,5999
CHAMBERS CO.,72489,7825
CHEROKEE CO.,38378,1861
CHILDRESS CO.,47532,14949
CLAY CO.,53776,3471
COCHRAN CO.,38650,4283
COKE CO.,40795,6683
COLEMAN CO.,31373,2939
COLLIN CO.,82762,1127
COLLINGSWORTH CO.,41576,5666
COLORADO CO.,45146,2259
COMAL CO.,65839,2790
COMANCHE CO.,36020,2628
CONCHO CO.,51411,7698
COOKE CO.,50067,2685
CORYELL CO.,49819,2061
COTTLE CO.,34639,4276
CRANE CO.,50417,4099
CROCKETT CO.,50475,8361
CROSBY CO.,38187,2497
CULBERSON CO.,37105,5387
DALLAM CO.,40895,5078
DALLAS CO.,49481,392
DAWSON CO.,39714,3579
DEAF SMITH CO.,41444,2667
DELTA CO.,40375,8716
DENTON CO.,74155,1005
DEWITT CO.,46454,3410
DICKENS CO.,38401,3026
DIMMIT CO.,36681,5168
DONLEY CO.,42411,6727
DUVAL CO.,34131,5280
EASTLAND CO.,34914,2821
ECTOR CO.,51466,1894
EDWARDS CO.,43839,8509
ELLIS CO.,61952,1751
EL PASO CO.,40157,622
ERATH CO.,39586,2684
FALLS CO.,32908,2310
FANNIN CO.,44355,2261
FAYETTE CO.,48015,3450
FISHER CO.,42125,6167
FLOYD CO.,42279,7782
FOARD CO.,33750,9738
FORT BEND CO.,85297,1361
FRANKLIN CO.,45523,8286
FREESTONE CO.,44502,4740
FRIO CO.,35849,5100
GAINES CO.,52910,3797
GALVESTON CO.,61877,1543
GARZA CO.,47540,9980
GILLESPIE CO.,53668,3432
GLASSCOCK CO.,69107,16418
GOLIAD CO.,50923,2917
GONZALES CO.,39248,2974
GRAY CO.,43504,2216
GRAYSON CO.,46429,1598
GREGG CO.,45525,2137
GRIMES CO.,43994,2562
GUADALUPE CO.,61958,1580
HALE CO.,41191,2754
HALL CO.,33006,4306
HAMILTON CO.,40655,4112
HANSFORD CO.,49150,3465
HARDEMAN CO.,36377,5476
HARDIN CO.,53013,3780
HARRIS CO.,53137,334
HARRISON CO.,45675,2430
HARTLEY CO.,65750,8432
HASKELL CO.,36857,7211
HAYS CO.,58651,2023
HEMPHILL CO.,56379,13084
HENDERSON CO.,40900,1547
HIDALGO CO.,34146,690
HILL CO.,40769,1511
HOCKLEY CO.,50565,2271
HOOD CO.,55754,2447
HOPKINS CO.,43657,2481
HOUSTON CO.,33119,1986
HOWARD CO.,45612,3293
HUDSPETH CO.,22545,2903
HUNT CO.,44858,1626
HUTCHINSON CO.,44731,2592
IRION CO.,50357,8675
JACK CO.,49038,8499
JACKSON CO.,49528,3798
JASPER CO.,40417,2905
JEFF DAVIS CO.,49056,7144
JEFFERSON CO.,42568,897
JIM HOGG CO.,36121,5738
JIM WELLS CO.,40585,2247
JOHNSON CO.,57535,1524
JONES CO.,41297,3304
KARNES CO.,42862,3643
KAUFMAN CO.,61194,1918
KENDALL CO.,73410,5273
KENEDY CO.,43438,19154
KENT CO.,46875,9234
KERR CO.,43601,1966
KIMBLE CO.,43424,4909
KING CO.,65000,12958
KINNEY CO.,33257,8537
KLEBERG CO.,40566,3869
KNOX CO.,34295,3579
LAMAR CO.,40104,2046
LAMB CO.,36727,3150
LAMPASAS CO.,49277,2490
LA SALLE CO.,26756,5040
LAVACA CO.,44149,2834
LEE CO.,51534,4683
LEON CO.,44452,4146
LIBERTY CO.,47228,2693
LIMESTONE CO.,38823,1850
LIPSCOMB CO.,57978,3676
LIVE OAK CO.,42829,4215
LLANO CO.,44094,4370
LOVING CO.,68750,35895
LUBBOCK CO.,44397,1006
LYNN CO.,44375,5782
MCCULLOCH CO.,39194,3550
MCLENNAN CO.,41922,1014
MCMULLEN CO.,39500,20484
MADISON CO.,41732,3747
MARION CO.,31967,5214
MARTIN CO.,42607,5713
MASON CO.,46865,4871
MATAGORDA CO.,43096,2768
MAVERICK CO.,31395,1820
MEDINA CO.,55326,2339
MENARD CO.,31215,6137
MIDLAND CO.,62993,1861
MILAM CO.,37391,2581
MILLS CO.,44213,3242
MITCHELL CO.,42045,9687
MONTAGUE CO.,44231,2636
MONTGOMERY CO.,67766,1503
MOORE CO.,51181,2117
MORRIS CO.,37849,3235
MOTLEY CO.,35845,2340
NACOGDOCHES CO.,36777,1746
NAVARRO CO.,40795,1796
NEWTON CO.,37246,5307
NOLAN CO.,36806,2001
NUECES CO.,47057,1495
OCHILTREE CO.,49964,3318
OLDHAM CO.,48929,8075
ORANGE CO.,49507,2003
PALO PINTO CO.,41670,1859
PANOLA CO.,52453,2891
PARKER CO.,64515,1782
PARMER CO.,44943,4402
PECOS CO.,47019,3332
POLK CO.,37855,1851
POTTER CO.,37951,1482
PRESIDIO CO.,29634,6161
RAINS CO.,44478,5985
RANDALL CO.,58529,1508
REAGAN CO.,61250,10718
REAL CO.,33885,5802
RED RIVER CO.,31712,2581
REEVES CO.,40571,4850
REFUGIO CO.,44548,4471
ROBERTS CO.,67321,16271
ROBERTSON CO.,40601,3737
ROCKWALL CO.,86119,3464
RUNNELS CO.,37667,3919
RUSK CO.,45752,2116
SABINE CO.,32963,3167
SAN AUGUSTINE CO.,28390,2828
SAN JACINTO CO.,46107,4973
SAN PATRICIO CO.,50657,2579
SAN SABA CO.,37743,3913
SCHLEICHER CO.,50648,12727
SCURRY CO.,47513,2991
SHACKELFORD CO.,47277,10463
SHELBY CO.,37081,2255
SHERMAN CO.,48185,4988
SMITH CO.,47432,1539
SOMERVELL CO.,55269,5251
STARR CO.,24927,1174
STEPHENS CO.,41728,3575
STERLING CO.,50543,14157
STONEWALL CO.,42429,6856
SUTTON CO.,53806,7852
SWISHER CO.,36753,5380
TARRANT CO.,56853,497
TAYLOR CO.,44891,1419
TERRELL CO.,39479,13210
TERRY CO.,37679,4035
THROCKMORTON CO.,39286,3916
TITUS CO.,42939,2037
TOM GREEN CO.,44545,1521
TRAVIS CO.,58025,679
TRINITY CO.,34555,2428
TYLER CO.,39940,2989
UPSHUR CO.,46600,2910
UPTON CO.,51750,12145
UVALDE CO.,34902,3105
VAL VERDE CO.,40450,1494
VAN ZANDT CO.,43439,2211
VICTORIA CO.,50364,1870
WALKER CO.,37617,2291
WALLER CO.,50097,5027
WARD CO.,42568,4377
WASHINGTON CO.,44858,3694
WEBB CO.,39449,1174
WHARTON CO.,40411,3483
WHEELER CO.,51766,3835
WICHITA CO.,45086,1588
WILBARGER CO.,41658,3983
WILLACY CO.,25886,2460
WILLIAMSON CO.,71803,1037
WILSON CO.,64571,3116
WINKLER CO.,48992,3136
WISE CO.,56005,2944
WOOD CO.,43649,2420
YOAKUM CO.,49340,5882
YOUNG CO.,44429,4763
ZAPATA CO.,31109,5615
ZAVALA CO.,25625,3681
