name,estimate,moe
ANDERSON CO.,42313,2337
ANDREWS CO.,70753,6115
ANGELINA CO.,46472,1452
ARANSAS CO.,44601,3698
ARCHER CO.,63192,4765
ARMSTRONG CO.,68750,10647
ATASCOSA CO.,55194,4735
AUSTIN CO.,62614,6451
BAILEY CO.,43523,7943
BANDERA CO.,56413,5522
BASTROP CO.,59185,2756
BAYLOR CO.,36157,3798
BEE CO.,45415,4540
BELL CO.,52583,994
BEXAR CO.,53999,449
BLANCO CO.,58500,4789
BORDEN CO.,77708,14586
BOSQUE CO.,48677,3108
BOWIE CO.,46283,2652
BRAZORIA CO.,76426,2188
BRAZOS CO.,43907,1389
BREWSTER CO.,38906,3618
BRISCOE CO.,42500,7062
BROOKS CO.,24794,3253
BROWN CO.,43062,1925
BURLESON CO.,52510,4429
BURNET CO.,57173,3823
CALDWELL CO.,51346,2389
CALHOUN CO.,58788,3841
CALLAHAN CO.,40945,2635
CAMERON CO.,36095,962
CAMP CO.,41811,3097
CARSON CO.,67010,6981
CASS CO.,41432,2577
CASTRO CO.,44643,3842
CHAMBERS CO.,74368,8078
CHEROKEE CO.,44294,2017
CHILDRESS CO.,40432,6002
CLAY CO.,46863,4871
COCHRAN CO.,37500,3978
COKE CO.,42500,6360
COLEMAN CO.,40804,3227
COLLIN CO.,90124,995
COLLINGSWORTH CO.,46348,6241
COLORADO CO.,50241,3748
COMAL CO.,73655,1751
COMANCHE CO.,42419,2872
CONCHO CO.,46696,9020
COOKE CO.,60027,2476
CORYELL CO.,50865,1533
COTTLE CO.,33534,5773
CRANE CO.,63935,9605
CROCKETT CO.,52310,7773
CROSBY CO.,38674,2969
CULBERSON CO.,33125,11492
DALLAM CO.,45580,8818
DALLAS CO.,53626,437
DAWSON CO.,43201,4374
DEAF SMITH CO.,51543,3468
DELTA CO.,42642,5710
DENTON CO.,80290,1119
DEWITT CO.,50960,5037
DICKENS CO.,43088,3488
DIMMIT CO.,31384,5343
DONLEY CO.,44429,6281
DUVAL CO.,35443,5975
EASTLAND CO.,32135,3314
ECTOR CO.,59528,2471
EDWARDS CO.,48462,24610
ELLIS CO.,67371,2205
EL PASO CO.,43244,675
