name,estimate,moe
ALAMEDA CO.,73775,762
ALPINE CO.,61343,4265
AMADOR CO.,52964,3595
BUTTE CO.,43165,1130
CALAVERAS CO.,54936,3175
COLUSA CO.,50503,3403
CONTRA COSTA CO.,79799,955
DEL NORTE CO.,39302,4825
EL DORADO CO.,68507,2109
FRESNO CO.,45201,713
GLENN CO.,40106,4665
HUMBOLDT CO.,42153,1275
IMPERIAL CO.,41772,1696
INYO CO.,45625,2684
KERN CO.,48574,913
KINGS CO.,47341,1550
LAKE CO.,35997,2154
LASSEN CO.,53351,3363
LOS ANGELES CO.,55870,244
MADERA CO.,45490,1912
MARIN CO.,91529,2681
MARIPOSA CO.,50560,3962
MENDOCINO CO.,43290,1704
MERCED CO.,43066,1381
MODOC CO.,38560,3271
MONO CO.,61814,5460
MONTEREY CO.,58582,983
NAPA CO.,70925,2288
NEVADA CO.,56949,2464
ORANGE CO.,75998,548
PLACER CO.,73747,1204
PLUMAS CO.,48032,3968
RIVERSIDE CO.,56592,523
SACRAMENTO CO.,55615,606
SAN BENITO CO.,67874,2626
SAN BERNARDINO CO.,54100,452
SAN DIEGO CO.,63996,576
SAN FRANCISCO CO.,78378,1490
SAN JOAQUIN CO.,53253,679
SAN LUIS OBISPO CO.,59454,1455
SAN MATEO CO.,91421,1320
SANTA BARBARA CO.,63409,1372
SANTA CLARA CO.,93854,745
SANTA CRUZ CO.,66923,1815
SHASTA CO.,44556,1108
SIERRA CO.,43107,7027
SISKIYOU CO.,37495,1719
SOLANO CO.,67341,1369
SONOMA CO.,63799,1179
STANISLAUS CO.,49573,1110
SUTTER CO.,51527,1534
TEHAMA CO.,42369,1978
TRINITY CO.,36862,5463
TULARE CO.,42863,901
TUOLUMNE CO.,48493,1823
VENTURA CO.,77335,779
YOLO CO.,55508,1754
YUBA CO.,45470,1777
